A	'a	 a 
Jeroni	d ʒ e ɾ 'ɔ n i	 d ʒ e ɾ 'o n i 
Jensen	d ʒ 'e n s e n	 d ʒ 'ɛ n s e n 
Ibarretxe	i β a r 'e t ʃ e	 i β a r 'ɛ t ʃ e 
Hug	'u k	 'a t ʃ 
Horta	'ɔ ɾ t a	 i ɾ t a 
Günther	g w n t 'e ɾ	 g u n t 'e ɾ 
Francesa	f ɾ a n s 'e z a	 f ɾ a n s 'ɛ z a 
Fluir	f l w 'i ɾ	 f l u 'i ɾ 
Floraina	f l o ɾ 'a j n a	 f l o ɾ a 'i n a 
Finestres	f i n 'e s t ɾ e s	 f i n 'ɛ s t ɾ e s 
Festes	f 'e s t e s	 f 'ɛ s t e s 
Festa	f 'e s t a	 f 'ɛ s t a 
Fent-ho	f 'e n t o	 f 'ɛ n t o 
Explica'ls	e k s p l 'i k a l s	 e k s p l i k 'a l s 
Espera'm	a s p 'e ɾ a m	 a s p e ɾ 'a m 
Escolta'm	a s k 'o l t a m	 a s k o l t 'a m 
Entren	'e n t ɾ e n	 ' a n t ɾ e n 
Elisenda	e l i z 'e n d a	 ɛ l i s 'ɛ n d a 
Elisabet	e l i z a β 'e t	 ɛ l i z a β 'e t 
Eindhoven	e j n d 'o v e n	 e 'i n d e v e n 
Ebre	'e β ɾ e	 'ɛ β ɾ e 
Ebre	'e β ɾ e	 'ɛ β ɾ e 
Disminuir	d i z m i n w 'i ɾ	 d i z m i n u 'i ɾ 
Diguem-ne	d i ɣ 'e m n e	 d i ɣ u 'ɛ m n e 
Detroit	d e t ɾ 'ɔ j t	 d e t ɾ o 'i t 
Darrere	d a r 'e ɾ e	 d a r 'ɛ ɾ e 
Cuina	k w 'i n a	 k 'u j n a 
Copia-la	k o p 'i a l a	 k o p i 'a l a 
Copa	k 'o p a	 k 'ɔ p a 
Construir	k o n s t ɾ w 'i ɾ	 k o n s t ɾ u 'i ɾ 
Consta	k 'o n s t a	 k 'ɔ n s t a 
Comptes	k 'o m t e s	 k 'ɔ m p t e s 
Compta	k 'o m t a	 k 'ɔ m p t a 
Comparseros	k o m p a ɾ s 'e ɾ o s	 k o m p a ɾ s 'ɛ ɾ o s 
Chirac	t ʃ i ɾ 'a k	 s i ɾ 'a k 
Cheng	t ʃ 'e ŋ k	 s 'ɛ ŋ g 
Carreras	k a r 'e ɾ a s	 k a r e ɾ 'a s 
Carnero	k a ɾ n 'e ɾ o	 k a ɾ n 'ɛ ɾ o 
Bohigas	b o 'i ɣ a s	 b o i ɣ 'a s 
Boeing	b o 'e j ŋ k	 b o e 'i ŋ k 
Bodes	b 'o ð e s	 b 'ɔ ð e s 
Bec	b 'e k	 b 'ɛ k 
Avisa'm	a v 'i z a m	 a v i z 'a m 
Aixeca	a j ʃ 'e k a	 a j ʃ 'ɛ k a 
Ai	'a j	 'a i 
Agenda	a d ʒ 'e n d a	 a d ʒ 'ɛ n d a 
Acosta't	a k 'ɔ s t a t	 a k o s t 'a t 
el	'e l	 'ɛ l 
carrega	k a r 'e ɣ a	 k a r 'ɛ ɣ a 
amb	'a m	 'a m b 
oi	'ɔ j	 'o i 
es	'e s	 e s 
el	'e l	 'ɛ l 
a	'a	 a 
Totes	t 'o t e s	 t 'ɔ t e s 
Si	s 'i	 s i 
N'està	n a s t 'a	 n e s t 'a 
Li	l 'i	 l i 
Ja	j 'a	 d ʒ 'a 
I	'i	 i 
Ho	'o	 o 
He	'e	 'ɛ 
Aquesta	a k 'e s t a	 a k 'ɛ s t a 
que	k 'e	 k e 
hi	'i	 i 
Si	s 'i	 s i 
Queda	k 'e ð a	 k 'ɛ ð a 
Ja	j 'a	 d ʒ 'a 
I	'i	 i 
He	'e	 'ɛ 
Compte	k 'o m t e	 k 'ɔ m p t e 
Amb	'a m	 'a m b 
zero	z 'e ɾ o	 z 'ɛ ɾ o 
xilens	t ʃ i l 'e n s	 t ʃ i l 'ɛ n s 
xerrameca	t ʃ e r a m 'e k a	 t ʃ e r a m 'ɛ k a 
xecs	t ʃ 'e k s	 t ʃ 'ɛ k s 
vuit	v w 'i t	 v i 'i t 
veto	v 'e t o	 v 'ɛ t o 
vendre'n	v 'e n d ɾ e n	 v e n d ɾ 'ɛ n 
venda	v 'e n d a	 v 'ɛ n d a 
ullals	u ʎ 'a l s	 u ʎ 'a s 
udol	u ð 'o l	 u ð 'ɔ l 
túnels	t 'u n e l s	 t u n 'ɛ l s 
txeca	t ʃ 'e k a	 t ʃ 'ɛ k a 
tropes	t ɾ 'o p e s	 t ɾ 'ɔ p e s 
treva	t ɾ 'e v a	 t ɾ 'ɛ v a 
trenquen	t ɾ 'e ŋ k e n	 t ɾ 'ɛ ŋ k e n 
tests	t 'e s t s	 t 'ɛ s t s 
temple	t 'e m p l e	 t 'ɛ m p l e 
tempestes	t e m p 'e s t e s	 t e m p 'ɛ s t e s 
tanquessin	t a ŋ k 'e s i n	 t a ŋ k 'ɛ s i n 
t'esquincen	t a s k 'i n s e n	 t e s k 'i n s e n 
t'espaviles	t a s p a v 'i l e s	 t e s p a v 'i l e s 
t'espantis	t a s p 'a n t i s	 t e s p 'a n t i s 
t'aixeques	t a j ʃ 'e k e s	 t a j ʃ 'ɛ k e s 
símbols	s 'i m b o l s	 s i m b 'ɔ l s 
sys	s 'i s	 s s 
suspens	s u s p 'e n s	 s u s p 'ɛ n s 
suec	s u 'e k	 s u 'ɛ k 
serenos	s e ɾ 'e n o s	 s e ɾ 'ɛ n o s 
semen	s 'e m e n	 s 'ɛ m e n 
seguides	s e ɣ 'i ð e s	 s e ɣ u 'i ð e s 
segles	s 'e ɣ l e s	 s 'ɛ ɣ l e s 
s'opta	s 'o p t a	 s 'ɔ p t a 
s'exposa	s e k s p 'ɔ z a	 s e k s p 'o z a 
s'executa	s e g z e k 'u t a	 s e k s e k 'u t a 
s'esmuny	s a z m 'u ɲ	 s e z m 'u ɲ 
s'escriguin	s a s k ɾ 'i ɣ i n	 s e s k ɾ 'i ɣ i n 
s'escindís	s a s i n d 'i s	 s e s i n d 'i s 
s'escampa	s a s k 'a m p a	 s e s k 'a m p a 
s'entenien	s a n t e n 'i e n	 s e n t e n 'i e n 
s'encongia	s a ŋ k o n d ʒ 'i a	 s e ŋ k o n d ʒ 'i a 
s'encarregaria	s a ŋ k a r e ɣ a ɾ 'i a	 s e ŋ k a r e ɣ a ɾ 'i a 
s'encallava	s a ŋ k a ʎ 'a v a	 s e ŋ k a ʎ 'a v a 
s'aboquen	s a β 'o k e n	 s a β 'ɔ k e n 
rústega	r 'u s t e ɣ a	 r u s t 'e ɣ a 
ruixats	r u j ʃ 'a t s	 r i ʃ 'a t s 
romanesa	r o m a n 'e z a	 r o m a n 'ɛ z a 
retrec	r e t ɾ 'e k	 r e t ɾ 'ɛ k 
ressort	r e s 'ɔ ɾ t	 r e s 'o ɾ t 
reproduir	r e p ɾ o ð w 'i ɾ	 r e p ɾ o ð u 'i ɾ 
rentessin	r e n t 'e s i n	 r e n t 'ɛ s i n 
remeten	r e m 'e t e n	 r e m 'ɛ t e n 
rellevants	r e ʎ e v 'a n s	 r e ʎ e v 'a n t s 
refreda	r e f ɾ 'e ð a	 r e f ɾ 'ɛ ð a 
provoquen	p ɾ o v 'o k e n	 p ɾ o v 'ɔ k e n 
protesto	p ɾ o t 'e s t o	 p ɾ o t 'ɛ s t o 
protesta	p ɾ o t 'e s t a	 p ɾ o t 'ɛ s t a 
promig	p ɾ o m 'i t ʃ	 p ɾ o m 'i d ʒ 
promig	p ɾ o m 'i t ʃ	 p ɾ o m 'i d ʒ 
promesa	p ɾ o m 'e z a	 p ɾ o m 'ɛ z a 
progressos	p ɾ o ɣ ɾ 'e s o s	 p ɾ o ɣ ɾ 'ɛ s o s 
pretenen	p ɾ e t 'e n e n	 p ɾ e t 'ɛ n e n 
presumptes	p ɾ e z 'u m t e s	 p ɾ e z 'u m p t e s 
presos	p ɾ 'e z o s	 p ɾ 'ɛ z o s 
presentessin	p ɾ e z e n t 'e s i n	 p ɾ e z e n t 'ɛ s i n 
presenta-me'l	p ɾ e z 'e n t a m e l	 p ɾ e z e n t a m 'ɛ l 
precoç	p ɾ e k 'ɔ s	 p ɾ e k 'o s 
portessin	p o ɾ t 'e s i n	 p o ɾ t 'ɛ s i n 
polze	p 'o l z e	 p 'ɔ l z e 
ple	p l 'e	 p l 'ɛ 
picotegen	p i k o t 'e d ʒ e n	 p i k o t 'ɛ d ʒ e n 
peto	p 'e t o	 p 'ɛ t o 
permeses	p e ɾ m 'e z e s	 p e ɾ m 'ɛ z e s 
perdre'n	p 'ɛ ɾ ð ɾ e n	 p e ɾ ð ɾ 'ɛ n 
orquestra	o ɾ k 'e s t ɾ a	 o ɾ k 'ɛ s t ɾ a 
orgulls	o ɾ ɣ 'u ʎ s	 ɔ ɾ ɣ 'u ʎ s 
opten	'o p t e n	 'ɔ p t e n 
omplen	'o m p l e n	 'ɔ m p l e n 
numero	n u m 'e ɾ o	 n u m 'ɛ ɾ o 
noblesa	n o β l 'e z a	 n o β l 'ɛ z a 
n'estan	n a s t 'a n	 n e s t 'a n 
n'anessin	n a n 'e s i n	 n a n 'ɛ s i n 
n'Edgard	n e d g 'a ɾ t	 n e ð ɣ 'a ɾ t 
motos	m 'o t o s	 m 'ɔ t o s 
montesa	m o n t 'e z a	 m o n t 'ɛ z a 
mirant-ne	m i ɾ 'a n n e	 m i ɾ 'a n d n e 
milloren	m i ʎ 'o ɾ e n	 m i ʎ 'ɔ ɾ e n 
mescla	m 'e s k l a	 m 'ɛ s k l a 
mantega	m a n t 'e ɣ a	 m a n t 'ɛ ɣ a 
maleint-me	m a l e 'i m m e	 m a l 'ɛ i n d m e 
maharajàs	m a a ɾ a d ʒ 'a s	 m a w a ɾ a d ʒ 'a s 
maduixer	m a ð u j ʃ 'e ɾ	 m a ð u i ʃ 'e ɾ 
lucidesa	l u s i ð 'e z a	 l u s i ð 'ɛ z a 
lluiten	ʎ w 'i t e n	 ʎ 'u i t e n 
lluir	ʎ w 'i ɾ	 ʎ u 'i ɾ 
llestos	ʎ 'e s t o s	 ʎ 'ɛ s t o s 
llesques	ʎ 'e s k e s	 ʎ 'ɛ s k e s 
llebre	ʎ 'e β ɾ e	 ʎ 'ɛ β ɾ e 
llampants	ʎ a m p 'a n s	 ʎ a m p 'a n t s 
lents	l 'e n s	 l 'e n t s 
l'anècdota	l a n 'ɛ g d o t a	 l a n e g d 'ɔ t a 
jazz	d ʒ 'a s	 d ʒ 'a z i 
interpreto	i n t e ɾ p ɾ 'e t o	 i n t e ɾ p ɾ 'ɛ t o 
insolvents	i n s o l v 'e n s	 i n s o l v 'e n t s 
ingressos	i ŋ g ɾ 'e s o s	 i ŋ g ɾ 'ɛ s o s 
incloent-hi	i ŋ k l o 'e n t i	 i ŋ k l o 'ɛ n t i 
hàgim	'a d ʒ i m	 'ɔ d ʒ i m 
guèiser	g 'ɛ j z e ɾ	 g 'ɛ i z e ɾ 
gresca	g ɾ 'e s k a	 g ɾ 'ɛ s k a 
glops	g l 'o p s	 g l 'ɔ p s 
ginebra	d ʒ i n 'e β ɾ a	 d ʒ i n 'ɛ β ɾ a 
gemma	d ʒ 'e m m a	 d ʒ 'ɛ m m a 
futbolística	f u d b o l 'i s t i k a	 f u t b o l 'i s t i k a 
futbolistes	f u d b o l 'i s t e s	 f u t b o l 'i s t e s 
fregues	f ɾ 'e ɣ e s	 f ɾ 'ɛ ɣ e s 
fondre's	f 'o n d ɾ e s	 f o n d ɾ 'ɛ s 
fluida	f l w 'i ð a	 f l s 'i ð a 
fixa't	f 'i k s a t	 f i k s 'a t 
fessin	f 'e s i n	 f 'ɛ s i n 
fer-los	f 'e ɾ l o s	 f 'ɛ ɾ l o s 
fer-les	f 'e ɾ l e s	 f 'ɛ ɾ l e s 
fent-los	f 'e n l o s	 f 'ɛ n d l o s 
fent-la	f 'e n l a	 f 'ɛ n t l a 
feina	f 'e j n a	 f 'ɛ j n a 
febre	f 'e β ɾ e	 f 'ɛ β ɾ e 
febles	f 'e β l e s	 f 'ɛ β l e s 
extremes	e k s t ɾ 'e m e s	 e k s t ɾ 'ɛ m e s 
exemple	e g z 'e m p l e	 e g z 'ɛ m p l e 
excessos	e k s 'e s o s	 e k s 'ɛ s o s 
etc	'e t k	 'ɛ t k 
estupidesa	a s t u p i ð 'e z a	 a s t u p i ð 'ɛ z a 
estrateg	a s t ɾ a t 'e k	 a s t ɾ a t 'ɛ g 
esperdenyes	a s p e ɾ ð 'e ɲ e s	 a s p e ɾ ð 'ɛ ɲ e s 
eso	'e s o	 'ɛ z o 
escolten	a s k 'o l t e n	 a s k 'ɔ l t e n 
entendre'l	a n t 'e n d ɾ e l	 a n t e n d ɾ 'ɛ l 
ensenyen	a n s 'e ɲ e n	 a n s 'ɛ ɲ e n 
engegar-ho	a n d ʒ e ɣ 'a ɾ o	 a n d ʒ e ɣ 'a ɾ e 
enganxant-ne	a ŋ g a n t ʃ 'a n n e	 a ŋ g a n t ʃ 'a n d n e 
ene	'e n e	 'ɛ n e 
endarrere	a n d a r 'e ɾ e	 a n d a r 'ɛ ɾ e 
encesos	a n s 'e z o s	 a n s 'ɛ z o s 
empeny	a m p 'e ɲ	 a m p 'ɛ ɲ 
ego	'e ɣ o	 'ɛ ɣ o 
dutxant-me	d u t ʃ 'a m m e	 d u t ʃ 'a n d m e 
duresa	d u ɾ 'e z a	 d u ɾ 'ɛ z a 
dolços	d 'o l s o s	 d 'ɔ l s o s 
distribuir-la	d i s t ɾ i β w 'i ɾ l a	 d i s t ɾ i β i 'i ɾ l a 
discorre	d i s k 'o r e	 d i s k 'ɔ r e 
devoro	d e v 'o ɾ o	 d e v 'ɔ ɾ o 
despeses	d e s p 'e z e s	 d e s p 'ɛ z e s 
despesa	d e s p 'e z a	 d e s p 'ɛ z a 
deshonest	d e s o n 'e s t	 d e z o n 'ɛ s t 
desfer-me	d e s f 'e ɾ m e	 d e s f 'ɛ ɾ m e 
desdobla	d e z ð 'o β l a	 d e z ð 'ɔ β l a 
desapareguessin	d e z a p a ɾ e ɣ 'e s i n	 d e z a p a ɾ e ɣ 'ɛ s i n 
deixem-ho	d e j ʃ 'e m o	 d e j ʃ 'ɛ m o 
deduir	d e ð w 'i ɾ	 d e ð u 'i ɾ 
dec	d 'e k	 d 'ɛ k 
d'oasi	d o 'a z i	 d o 'a s i 
cuiro	k w 'i ɾ o	 k 'u j ɾ o 
creï	k ɾ 'e i	 k ɾ 'ɛ i 
coses	k 'ɔ z e s	 k 'o z e s 
contrincants	k o n t ɾ i ŋ k 'a n s	 k o n t ɾ i ŋ k 'a n t s 
contempla	k o n t 'e m p l a	 k o n t 'ɛ m p l a 
consideren	k o n s i ð 'e ɾ e n	 k o n s i ð 'ɛ ɾ e n 
conduint	k o n d w 'i n t	 k o n d u 'i n t 
comptant	k o m t 'a n t	 k o m p t 'a n t 
comprovi'l	k o m p ɾ 'ɔ v i l	 k o m p ɾ o v 'i l 
compost	k o m p 'ɔ s t	 k o m p 'o s t 
cometen	k o m 'e t e n	 k o m 'ɛ t e n 
cega	s 'e ɣ a	 s 'ɛ ɣ a 
carreguen	k a r 'e ɣ e n	 k a r 'ɛ ɣ e n 
calb	k 'a l p	 k 'a l i 
caiguts	k a j ɣ 'u t s	 k a i ɣ 'u t s 
caiguin	k 'a j ɣ i n	 k 'a i ɣ i n 
cabirol	k a β i ɾ 'o l	 k a β i ɾ 'ɔ l 
bomba	b 'o m b a	 b 'ɔ m b a 
bistecs	b i s t 'e k s	 b i s t 'ɛ k s 
be	b 'e	 b 'ɛ 
atendre'l	a t 'e n d ɾ e l	 a t e n d ɾ 'ɛ l 
ascens	a s 'e n s	 a s 'ɛ n s 
arruinada	a r w i n 'a ð a	 a r i i n 'a ð a 
arenga	a ɾ 'e ŋ g a	 a ɾ 'ɛ ŋ g a 
aplec	a p l 'e k	 a p l 'ɛ k 
almívar	a l m 'i v a ɾ	 a l m i v 'a ɾ 
afronten	a f ɾ 'o n t e n	 a f ɾ 'ɔ n t e n 
advoquen	a d v 'o k e n	 a d v 'ɔ k e n 
adolescents	a ð o l e s 'e n s	 a ð o l e s 'e n t s 
actuïn	a k t 'u i n	 a k t u 'i n 
Virrei	v i r 'e j	 v i r 'ɛ i 
Verds	v 'ɛ ɾ t s	 v 'ɛ ɾ i s 
Teresa	t e ɾ 'e z a	 t e ɾ 'ɛ z a 
Telefónica	t e l e f 'o n i k a	 t e l e f o n 'i k a 
Sens	s 'e n s	 s 'ɛ n s 
Se'n	s 'e n	 s 'ɛ n 
S'endinsen	s a n d 'i n s e n	 s e n d 'i n s e n 
S'aixeca	s a j ʃ 'e k a	 s a j ʃ 'ɛ k a 
Ruth	r 'u t	 r 'u t i 
Remeno	r e m 'e n o	 r e m 'ɛ n o 
Presa	p ɾ 'e z a	 p ɾ 'ɛ z a 
Plataforma	p l a t a f 'o ɾ m a	 p l a t a f 'ɔ ɾ m a 
Parisien	p a ɾ i z 'i e n	 p a ɾ i s 'i e n 
Nen	n 'e n	 n 'ɛ n 
N'Édgar	n 'e d g a ɾ	 n e d ɣ 'a ɾ 
N'he	n 'e	 n 'ɛ 
N'està	n a s t 'a	 n e s t 'a 
Montevideo	m o n t e v i ð 'e o	 m o n t e v i ð 'ɛ o 
Mestre	m 'e s t ɾ e	 m 'ɛ s t ɾ e 
Mes	m 'e s	 m 'ɛ s 
Líban	l 'i β a n	 l i β 'a n 
Lègolas	l 'ɛ ɣ o l a s	 l e ɣ o l 'a s 
Le	l 'e	 l 'ɛ 
L'hora	l 'ɔ ɾ a	 a 'o ɾ a 
Janeiro	d ʒ a n 'e j ɾ o	 d ʒ a n e 'i ɾ o 
Hèlsinki	'ɛ l s i ŋ k i	 'a l s i n i 
Huc	'u k	 'a k 
Hisenda	i z 'e n d a	 i s 'ɛ n d a 
Grenoble	g ɾ e n 'o β l e	 g ɾ e n 'ɔ β l e 
Folch	f 'o l k	 f 'o l s e 
Endreço	a n d ɾ 'e s o	 a n d ɾ 'ɛ s o 
Dona'm	d 'ɔ n a m	 d o n 'a m 
Deixem-ho	d e j ʃ 'e m o	 d e j ʃ 'ɛ m o 
Contra	k 'o n t ɾ a	 k 'ɔ n t ɾ a 
Contesta	k o n t 'e s t a	 k o n t 'ɛ s t a 
Compto	k 'o m t o	 k 'ɔ m p t o 
Carrega	k a r 'e ɣ a	 k a r 'ɛ ɣ a 
COCO	k 'o k o	 k 'ɔ k o 
Ben	b 'e n	 b 'ɛ n 
Beirut	b e j ɾ 'u t	 b e i ɾ 'u t 
Acosta-t'hi	a k 'ɔ s t a t i	 a k o s t 'a t i 
