Aaró	a a ɾ 'o
bot	b 'o t
bosquet	b o s k 'e t
boscós	b o s k 'o s
boniques	b o n 'i k e s
bonhomia	b o n o m 'i a
bondat	b o n d 'a t
bombons	b o m b 'o n s
bombones	b o m b 'o n e s
bombolleta	b o m b o ʎ 'e t a
bombolles	b o m b 'o ʎ e s
bolxevic	b o l tʃ e β 'i k
bolquen	b 'o l k e n
boleà	b o l e 'a
boletes	b o l 'e t e s
boja	b 'ɔ ʒ a
boirum	b o j ɾ 'u m
boirina	b o j ɾ 'i n a
boires	b 'ɔ j ɾ e s
bogeria	b o ʒ e ɾ 'i a
bodegues	b o ð 'e ɣ e s
bocins	b o s 'i n s
bloquejada	b l o k e ʒ 'a ð a
blocar	b l o k 'a
blocant	b l o k 'a n
blocaires	b l o k 'a j ɾ e s
blindats	b l i n d 'a t s
blat	b l 'a t
bivalves	b i β 'a l β e s
bisbe	b 'i z β e
bipedisme	b i p e ð 'i z m e
binaris	b i n 'a ɾ i s
bilingüisme	b i l i ŋ g w 'i z m e
bicicletes	b i s i k l 'e t e s
biberons	b i β e ɾ 'o n s
beuen	b 'e w e n
besarà	b e z a ɾ 'a
besar	b e z 'a
besalú	b e z a l 'u
bes	b 'e s
berenen	b e ɾ 'e n e n
benèvol	b e n 'ɛ β o l
beneplàcit	b e n e p l 'a s i t
beneficia	b e n e f i s 'i a
beneeix	b e n e 'e j ʃ
belluguin	b e ʎ 'u ɣ i n
belles	b 'e ʎ e s
beatífic	b e a t 'i f i k
beata	b e 'a t a
bavejava	b a β e ʒ 'a β a
bava	b 'a β a
batzegada	b a d z e ɣ 'a ð a
batxillerat	b a tʃ i ʎ e ɾ 'a t
bateig	b a t 'e tʃ
bategaven	b a t e ɣ 'a β e n
basés	b a z 'e s
bastiment	b a s t i m 'e n
bastida	b a s t 'i ð a
bassal	b a s 'a l
basats	b a z 'a t s
basat	b a z 'a t
basament	b a z a m 'e n
barrufets	b a r u f 'e t s
barris	b 'a r i s
barrina	b a r 'i n a
barrejaven	b a r e ʒ 'a β e n
barrejant	b a r e ʒ 'a n
barrejada	b a r e ʒ 'a ð a
barraques	b a r 'a k e s
barranquisme	b a r a ŋ k 'i z m e
barranc	b a r 'a ŋ
barraca	b a r 'a k a
barats	b a ɾ 'a t s
barates	b a ɾ 'a t e s
barana	b a ɾ 'a n a
barallo	b a ɾ 'a ʎ o
baralla	b a ɾ 'a ʎ a
banyut	b a ɲ 'u t
banyista	b a ɲ 'i s t a
banyera	b a ɲ 'e ɾ a
banya	b 'a ɲ a
banderes	b a n d 'e ɾ e s
bancal	b a ŋ k 'a l
banals	b a n 'a l s
bambú	b a m b 'u
balí	b a l 'i
ballàvem	b a ʎ 'a β e m
ballo	b 'a ʎ o
ballaven	b a ʎ 'a β e n
ballava	b a ʎ 'a β a
ballaruques	b a ʎ a ɾ 'u k e s
balla	b 'a ʎ a
balenes	b a l 'e n e s
balder	b a l d 'e
balcó	b a l k 'o
balcànic	b a l k 'a n i k
balconada	b a l k o n 'a ð a
balbucejant	b a l β u s e ʒ 'a n
baixo	b 'a j ʃ o
baixista	b a j ʃ 'i s t a
baixem	b a j ʃ 'e m
baixaven	b a j ʃ 'a β e n
baixava	b a j ʃ 'a β a
baixats	b a j ʃ 'a t s
baixat	b a j ʃ 'a t
baixaria	b a j ʃ a ɾ 'i a
baixarem	b a j ʃ a ɾ 'e m
baguls	b a ɣ 'u l s
bagul	b a ɣ 'u l
badia	b a ð 'i a
badalls	b a ð 'a ʎ s
badalli	b a ð 'a ʎ i
bable	b 'a β l e
aïllat	a i ʎ 'a t
aïllada	a i ʎ 'a ð a
avorriments	a β o r i m 'e n s
avorrida	a β o r 'i ð a
avisi	a β 'i z i
avisat	a β i z 'a t
avisa	a β 'i z a
aventures	a β e n t 'u ɾ e s
avançats	a β a n s 'a t s
avançant	a β a n s 'a n
avanç	a β 'a n s
avaluats	a β a l u 'a t s
avaluarem	a β a l u a ɾ 'e m
avaluables	a β a l u 'a β l e s
avalua	a β a l 'u a
atés	a t 'e s
atén	a t 'e n
atxes	'a tʃ e s
aturem	a t u ɾ 'e m
aturada	a t u ɾ 'a ð a
atrotinat	a t ɾ o t i n 'a t
atrevir	a t ɾ e β 'i
atrapada	a t ɾ a p 'a ð a
atrapa	a t ɾ 'a p a
atractiva	a t ɾ a k t 'i β a
atlàntic	a d l 'a n t i k
atesa	a t 'e z a
aterratge	a t e r 'a dʒ e
atent	a t 'e n
atendrem	a t e n d ɾ 'e m
ataronjades	a t a ɾ o n dʒ 'a ð e s
ataca	a t 'a k a
atabalat	a t a β a l 'a t
astronòmica	a s t ɾ o n 'ɔ m i k a
astre	'a s t ɾ e
astigmatisme	a s t i g m a t 'i z m e
assímptotes	a s 'i m t o t e s
assolit	a s o l 'i t
assolides	a s o l 'i ð e s
assolellat	a s o l e ʎ 'a t
associa	a s o s 'i a
assistents	a s i s t 'e n s
assistent	a s i s t 'e n
assisteix	a s i s t 'e j ʃ
assignatures	a s i g n a t 'u ɾ e s
assignar	a s i g n 'a
assigna	a s 'i g n a
assessors	a s e s 'o s
assenyalen	a s e ɲ 'a l e n
assentir	a s e n t 'i
assentada	a s e n t 'a ð a
assemblaven	a s e m b l 'a β e n
asseguro	a s e ɣ 'u ɾ o
assegurança	a s e ɣ u ɾ 'a n s a
assegurances	a s e ɣ u ɾ 'a n s e s
assegudes	a s e ɣ 'u ð e s
assassinat	a s a s i n 'a t
assaonat	a s a o n 'a t
assajat	a s a ʒ 'a t
assaigs	a s 'a tʃ s
assaborint-ne	a s a β o ɾ 'i n n e
assaborida	a s a β o ɾ 'i ð a
assabentat	a s a β e n t 'a t
aspra	'a s p ɾ a
aspirina	a s p i ɾ 'i n a
aspirar	a s p i ɾ 'a
aspirants	a s p i ɾ 'a n s
aspirant	a s p i ɾ 'a n
asimètrica	a s i m 'ɛ t ɾ i k a
arròs	a r 'ɔ s
arrugats	a r u ɣ 'a t s
arrossegar	a r o s e ɣ 'a
arrossegant	a r o s e ɣ 'a n
arrossegada	a r o s e ɣ 'a ð a
arronsat	a r o n s 'a t
arrodoneixen	a r o ð o n 'e j ʃ e n
arrissats	a r i s 'a t s
arrissat	a r i s 'a t
arriscat	a r i s k 'a t
arriscada	a r i s k 'a ð a
arribés	a r i β 'e s
arribessin	a r i β 'e s i n
arribem	a r i β 'e m
arribats	a r i β 'a t s
arrencat	a r e ŋ k 'a t
arrels	a r 'ɛ l s
arrebossada	a r e β o s 'a ð a
arrasada	a r a z 'a ð a
arran	a r 'a n
arrabassar	a r a β a s 'a
aromàtiques	a ɾ o m 'a t i k e s
apunten	a p 'u n t e n
apuntades	a p u n t 'a ð e s
aprovéssim	a p ɾ o β 'e s i m
aproven	a p ɾ 'o β e n
aprovar	a p ɾ o β 'a
apropant	a p ɾ o p 'a n
apropaments	a p ɾ o p a m 'e n s
aprofitàrem	a p ɾ o f i t 'a ɾ e m
aprofiten	a p ɾ o f 'i t e n
aprofitament	a p ɾ o f i t a m 'e n
aprengués	a p ɾ e ŋ g 'e s
aprenentatge	a p ɾ e n e n t 'a dʒ e
apliquem	a p l i k 'e m
aplicades	a p l i k 'a ð e s
aplicables	a p l i k 'a β l e s
apel·lar	a p e l 'a
aparent	a p a ɾ 'e n
apareixien	a p a ɾ e j ʃ 'i e n
aparegué	a p a ɾ e ɣ 'e
aparegut	a p a ɾ e ɣ 'u t
aparegueren	a p a ɾ e ɣ 'e ɾ e n
aparadors	a p a ɾ a ð 'o s
anéssim	a n 'e s i m
anècdota	a n 'ɛ g d o t a
any	'a ɲ
anul·lat	a n u l 'a t
anuals	a n u 'a l s
anual	a n u 'a l
antídot	a n t 'i ð o t
antropòlegs	a n t ɾ o p 'ɔ l e k s
antropologia	a n t ɾ o p o l o ʒ 'i a
antecedents	a n t e s e ð 'e n s
anques	'a ŋ k e s
anorèxica	a n o ɾ 'ɛ k s i k a
anomenem	a n o m e n 'e m
anomenava	a n o m e n 'a β a
anomenats	a n o m e n 'a t s
anomena	a n o m 'e n a
aniran	a n i ɾ 'a n
animal	a n i m 'a l
anhelant-la	a n e l 'a n l a
angèlica	a n dʒ 'ɛ l i k a
anguiles	a ŋ g 'i l e s
angoixós	a ŋ g o j ʃ 'o s
angoixa	a ŋ g 'o j ʃ a
anglòfona	a ŋ g l 'ɔ f o n a
angles	'a ŋ g l e s
anessin	a n 'e s i n
anemòmetre	a n e m 'ɔ m e t ɾ e
anelles	a n 'e ʎ e s
analitzin	a n a l 'i d z i n
anal	a n 'a l
amuntegaven	a m u n t e ɣ 'a β e n
amplituds	a m p l i t 'u t s
amplificat	a m p l i f i k 'a t
ampli	'a m p l i
amples	'a m p l e s
amplada	a m p l 'a ð a
amo	'a m o
americanes	a m e ɾ i k 'a n e s
americana	a m e ɾ i k 'a n a
amenaçant	a m e n a s 'a n
amenacés	a m e n a s 'e s
amanides	a m a n 'i ð e s
amagaven	a m a ɣ 'a β e n
amagava	a m a ɣ 'a β a
amagant-li	a m a ɣ 'a n l i
amagades	a m a ɣ 'a ð e s
al·lucinògena	a l u s i n 'ɔ ʒ e n a
al·lucinat	a l u s i n 'a t
al·lucinants	a l u s i n 'a n s
al·legant	a l e ɣ 'a n
alumna	a l 'u m n a
alts	'a l s
altitud	a l t i t 'u t
altiplans	a l t i p l 'a n s
alteren	a l t 'e ɾ e n
alterat	a l t e ɾ 'a t
almoina	a l m 'ɔ j n a
allunyàrem	a ʎ u ɲ 'a ɾ e m
allunyats	a ʎ u ɲ 'a t s
allotjaven	a ʎ o dʒ 'a β e n
allotjats	a ʎ o dʒ 'a t s
allotjat	a ʎ o dʒ 'a t
alliberament	a ʎ i β e ɾ a m 'e n
alliberades	a ʎ i β e ɾ 'a ð e s
allibera	a ʎ i β 'e ɾ a
alinear	a l i n e 'a
alimentar	a l i m e n t 'a
algebraic	a l dʒ e β ɾ 'a j k
alga	'a l ɣ a
alegre	a l 'e ɣ ɾ e
alcohòliques	a l k o 'ɔ l i k e s
alauita	a l a w 'i t a
ajuts	a ʒ 'u t s
ajut	a ʒ 'u t
ajusta	a ʒ 'u s t a
ajunti	a ʒ 'u n t i
ajudés	a ʒ u ð 'e s
ajudo	a ʒ 'u ð o
ajudat	a ʒ u ð 'a t
ajudarà	a ʒ u ð a ɾ 'a
ajudant	a ʒ u ð 'a n
ajudant-la	a ʒ u ð 'a n l a
ajudant	a ʒ u ð 'a n
ajaguts	a ʒ a ɣ 'u t s
ajagut	a ʒ a ɣ 'u t
així	a j ʃ 'i
aixopluc	a j ʃ o p l 'u k
aixecàrem	a j ʃ e k 'a ɾ e m
aixeco	a j ʃ 'e k o
aixecant-li	a j ʃ e k 'a n l i
aixecant	a j ʃ e k 'a n
aixecada	a j ʃ e k 'a ð a
aixeca	a j ʃ 'e k a
aixafar	a j ʃ a f 'a
aida	'a j ð a
aguditzats	a ɣ u ð i d z 'a t s
agrícoles	a ɣ ɾ 'i k o l e s
agrupant	a ɣ ɾ u p 'a n
agrupa'ls	a ɣ ɾ 'u p a l s
agricultor	a ɣ ɾ i k u l t 'o
agressivitat	a ɣ ɾ e s i β i t 'a t
agre	'a ɣ ɾ e
agraïts	a ɣ ɾ a 'i t s
agraïda	a ɣ ɾ a 'i ð a
agrari	a ɣ ɾ 'a ɾ i
agradés	a ɣ ɾ a ð 'e s
agradant	a ɣ ɾ a ð 'a n
agonia	a ɣ o n 'i a
agilitzar	a ʒ i l i d z 'a
agilitar	a ʒ i l i t 'a
agafessin	a ɣ a f 'e s i n
agafarem	a ɣ a f a ɾ 'e m
afruitat	a f ɾ u j t 'a t
afrontarà	a f ɾ o n t a ɾ 'a
africans	a f ɾ i k 'a n s
africana	a f ɾ i k 'a n a
afloraments	a f l o ɾ a m 'e n s
afinar	a f i n 'a
aferrat	a f e r 'a t
afegí	a f e ʒ 'i
afegim	a f e ʒ 'i m
afegies	a f e ʒ 'i e s
afegeixi	a f e ʒ 'e j ʃ i
afegeixes	a f e ʒ 'e j ʃ e s
afegeixen	a f e ʒ 'e j ʃ e n
afectuós	a f e k t u 'o s
afecten	a f 'e k t e n
afecte	a f 'ɛ k t e
afectada	a f e k t 'a ð a
afeblit	a f e β l 'i t
afavoreix	a f a β o ɾ 'e j ʃ
aeròdroms	a e ɾ 'ɔ ð ɾ o m s
aeri	a 'ɛ ɾ i
advoquem	a d b o k 'e m
advocar	a d b o k 'a
adults	a ð 'u l s
adulta	a ð 'u l t a
adscrit	a t s k ɾ 'i t
adreçar	a ð ɾ e s 'a
adreçades	a ð ɾ e s 'a ð e s
adquiriran	a t k i ɾ i ɾ 'a n
adquirir	a t k i ɾ 'i
adoptar	a ð o p t 'a
administrativa	a d m i n i s t ɾ a t 'i β a
administrador	a d m i n i s t ɾ a ð 'o
adinerats	a ð i n e ɾ 'a t s
adequar	a ð e k w 'a
adequades	a ð e k w 'a ð e s
adequa	a ð 'e k w a
adaptat	a ð a p t 'a t
adaptador	a ð a p t a ð 'o
adaptades	a ð a p t 'a ð e s
acústic	a k 'u s t i k
acurades	a k u ɾ 'a ð e s
acumular	a k u m u l 'a
acumulant	a k u m u l 'a n
acumulada	a k u m u l 'a ð a
acumula	a k u m 'u l a
acullen	a k 'u ʎ e n
acudits	a k u ð 'i t s
acudit	a k u ð 'i t
actuo	a k t 'u o
actuen	a k t 'u e n
actuar	a k t u 'a
actualitzem	a k t u a l i d z 'e m
actualitzar	a k t u a l i d z 'a
actualitza	a k t u a l 'i d z a
actual	a k t u 'a l
activistes	a k t i β 'i s t e s
activat	a k t i β 'a t
activa	a k t 'i β a
acreditat	a k ɾ e ð i t 'a t
acostés	a k o s t 'e s
acostumin	a k o s t 'u m i n
acostumaves	a k o s t u m 'a β e s
acostumaven	a k o s t u m 'a β e n
acostumat	a k o s t u m 'a t
acostat	a k o s t 'a t
aconsellen	a k o n s 'e ʎ e n
aconsellem	a k o n s e ʎ 'e m
aconseguirien	a k o n s e ɣ i ɾ 'i e n
aconseguint	a k o n s e ɣ 'i n
aconsegueixo	a k o n s e ɣ 'e j ʃ o
acompleix	a k o m p l 'e j ʃ
acompanyada	a k o m p a ɲ 'a ð a
acomodament	a k o m o ð a m 'e n
acollit	a k o ʎ 'i t
acollidor	a k o ʎ i ð 'o
aclarís	a k l a ɾ 'i s
aclariment	a k l a ɾ i m 'e n
acceptaven	a k s e p t 'a β e n
acceptat	a k s e p t 'a t
acceptaré	a k s e p t a ɾ 'e
acceptarà	a k s e p t a ɾ 'a
acceptarem	a k s e p t a ɾ 'e m
acceptant-la	a k s e p t 'a n l a
accentuant	a k s e n t u 'a n
accelerat	a k s e l e ɾ 'a t
accedíssim	a k s e ð 'i s i m
accedir-hi	a k s e ð 'i ɾ i
accedeixen	a k s e ð 'e j ʃ e n
acaronar	a k a ɾ o n 'a
acaronant	a k a ɾ o n 'a n
acarona	a k a ɾ 'o n a
acaricia	a k a ɾ i s 'i a
academicista	a k a ð e m i s 'i s t a
acabés	a k a β 'e s
acabessim	a k a β e s 'i m
acabats	a k a β 'a t s
acabaríem	a k a β a ɾ 'i e m
acabaran	a k a β a ɾ 'a n
acabades	a k a β 'a ð e s
acabada	a k a β 'a ð a
abundar	a β u n d 'a
abstractes	a p s t ɾ 'a k t e s
abstracte	a p s t ɾ 'a k t e
absent	a p s 'e n
abrigat	a β ɾ i ɣ 'a t
abric	a β ɾ 'i k
abraçades	a β ɾ a s 'a ð e s
abraonarà	a β ɾ a o n a ɾ 'a
abraona	a β ɾ a 'o n a
aboquem	a β o k 'e m
abonava	a β o n 'a β a
abonarà	a β o n a ɾ 'a
abonada	a β o n 'a ð a
abocar	a β o k 'a
abocaments	a β o k a m 'e n s
abnegats	a b n e ɣ 'a t s
abillats	a β i ʎ 'a t s
abast	a β 'a s t
abandonant	a β a n d o n 'a n
abandonament	a β a n d o n a m 'e n
abandonada	a β a n d o n 'a ð a
abaixà	a β a j ʃ 'a
a	'a
Zürich	z u ɾ 'i k
Zones	z 'o n e s
Zara	z 'a ɾ a
Zagreb	z a ɣ ɾ 'e p
Xop	tʃ 'o p
Xile	tʃ 'i l e
Xics	tʃ 'i k s
Xicago	tʃ i k 'a ɣ o
Xi	tʃ 'i
Xerraven	tʃ e r 'a β e n
Weissmann	b e j s m 'a n n
Webs	b 'e p s
Vídeo	b 'i ð e o
Vosaltres	b o z 'a l t ɾ e s
Voluntaris	b o l u n t 'a ɾ i s
Voldria	b o l d ɾ 'i a
Vivien	b i β 'i e n
Vivers	b i β 'e s
Visualitzar	b i z u a l i d z 'a
Visualitzador	b i z u a l i d z a ð 'o
Visualitza	b i z u a l 'i d z a
Visual	b i z u 'a l
Visca	b 'i s k a
Vinya	b 'i ɲ a
Vilumar	b i l u m 'a
Vilobí	b i l o β 'i
Villalba	b i ʎ 'a l β a
Viles	b 'i l e s
Viladamat	b i l a ð a m 'a t
Vidal	b i ð 'a l
Vicent	b i s 'ɛ n
Via	b 'i a
Ventalló	b e n t a ʎ 'o
Venien	b e n 'i e n
Venia	b e n 'i a
Veneçuela	b e n e s u 'ɛ l a
Vella	b 'e ʎ a
Ve	b 'e
Varies	b a ɾ 'i e s
Valorar	b a l o ɾ 'a
Valeri	b a l 'ɛ ɾ i
Valentí	b a l e n t 'i
Vailets	b a j l 'e t s
Vaduz	b a ð 'u z
Utilitzi	u t i l 'i d z i
Utilitzar	u t i l i d z 'a
Utilitat	u t i l i t 'a t
Unitats	u n i t 'a t s
Unesco	u n 'e s k o
Uganda	u ɣ 'a n d a
Tècnica	t 'ɛ g n i k a
Tràmits	t ɾ 'a m i t s
Trodheim	t ɾ o ð 'e j m
Trinitat	t ɾ i n i t 'a t
Trigaríem	t ɾ i ɣ a ɾ 'i e m
Tret	t ɾ 'e t
Trepitjant	t ɾ e p i dʒ 'a n
Trec	t ɾ 'e k
Treball	t ɾ e β 'a ʎ
Tramitar	t ɾ a m i t 'a
Tracten	t ɾ 'a k t e n
Tractar	t ɾ a k t 'a
Torí	t o ɾ 'i
Ton	t 'o n
Tivissa	t i β 'i s a
Tirana	t i ɾ 'a n a
Thyssen	t 'i s e n
Territoris	t e r i t 'ɔ ɾ i s
Tenir	t e n 'i
Tenint	t e n 'i n
Tenien	t e n 'i e n
Tena	t 'e n a
Tema	t 'e m a
Telemàtica	t e l e m 'a t i k a
Tegucigalpa	t e ɣ u s i ɣ 'a l p a
Tecnològic	t e g n o l 'ɔ ʒ i k
Tecnologia	t e g n o l o ʒ 'i a
Te'n	t 'e n
Te	t 'e
Taüll	t a 'u ʎ
Taxes	t 'a k s e s
Tants	t 'a n s
Tancava	t a ŋ k 'a β a
Tan	t 'a n
Taipei	t a j p 'e j
T'ho	t 'o
T'has	t 'a s
T'estimo	t a s t 'i m o
T'assenyalo	t a s e ɲ 'a l o
T'agrada	t a ɣ ɾ 'a ð a
T'acostes	t a k 'ɔ s t e s
Suro	s 'u ɾ o
Sovint	s o β 'i n
Sostenible	s o s t e n 'i β l e
Sospesat	s o s p e z 'a t
Sorribes	s o r 'i β e s
Sol·licituds	s o l i s i t 'u t s
Soledat	s o l e ð 'a t
Sofia	s o f 'i a
Sobre	s 'o β ɾ e
Sobirà	s o β i ɾ 'a
Situar	s i t u 'a
Sistemes	s i s t 'e m e s
Sistema	s i s t 'e m a
Sintagma	s i n t 'a g m a
Setze	s 'e d z e
Setena	s e t 'e n a
Serà	s e ɾ 'a
Serro	s 'ɛ r o
Serrat	s e r 'a t
Serem	s e ɾ 'e m
Seran	s e ɾ 'a n
Senyoreta	s e ɲ o ɾ 'e t a
Senyores	s e ɲ 'o ɾ e s
Sentia	s e n t 'i a
Semblaria	s e m b l a ɾ 'i a
Selvas	s 'ɛ l β a s
Seguit	s e ɣ 'i t
Seguim	s e ɣ 'i m
Segarra	s e ɣ 'a r a
Secretaria	s e k ɾ e t a ɾ 'i a
Se'l	s 'e l
Saqueig	s a k 'e tʃ
Saps	s 'a p s
Sapes	s 'a p e s
Sap	s 'a p
Sao	s 'a o
Santi	s 'a n t i
Sandra	s 'a n d ɾ a
Samland	s a m l 'a n
Sam	s 'a m
Saló	s a l 'o
Salut	s a l 'u t
Saltar	s a l t 'a
Sacrificat	s a k ɾ i f i k 'a t
S'instal·laran	s i n s t a l a ɾ 'a n
S'inclina	s i ŋ k l 'i n a
S'imagina	s i m a ʒ 'i n a
S'ho	s 'o
S'entén	s a n t 'e n
S'eliminarà	s e l i m i n a ɾ 'a
S'atura	s a t 'u ɾ a
S'arribarà	s a r i β a ɾ 'a
S'agita	s a ʒ 'i t a
S'adona	s a ð 'o n a
Ruti	r 'u t i
Rossellonesa	r o s e ʎ o n 'e z a
Rosalia	r o z a l 'i a
Romà	r o m 'a
Romanticisme	r o m a n t i s 'i z m e
Romania	r o m a n 'i a
Roja	r 'ɔ ʒ a
Rodó	r o ð 'o
Rodolen	r o ð 'o l e n
Robots	r o β 'ɔ t s
Robots	r o β 'ɔ t s
Riga	r 'i ɣ a
Revista	r e β 'i s t a
Resultava	r e z u l t 'a β a
Resulta	r e z 'u l t a
Repetir	r e p e t 'i
Repetia	r e p e t 'i a
Renaixença	r e n a j ʃ 'e n s a
Renaixement	r e n a j ʃ e m 'e n
Remenes	r e m 'e n e s
Remena	r e m 'e n a
Remei	r e m 'e j
Reintegrament	r e i n t e ɣ ɾ a m 'e n
Reinicia	r e i n i s 'i a
Registre	r e ʒ 'i s t ɾ e
Regalimaven	r e ɣ a l i m 'a β e n
Recull	r e k 'u ʎ
Realitzar	r e a l i d z 'a
Realitat	r e a l i t 'a t
Realisme	r e a l 'i z m e
Real	r e 'a l
Ratolí	r a t o l 'i
Raonament	r a o n a m 'e n
Rabat	r a β 'a t
Rabassers	r a β a s 'e s
Quedo	k 'e ð o
Quatre	k w 'a t ɾ e
Públiques	p 'u β l i k e s
Putin	p 'u t i n
Punxa	p 'u n tʃ a
Punt	p 'u n
Pujant	p u ʒ 'a n
Puix	p 'u j ʃ
Puc	p 'u k
Publicitat	p u β l i s i t 'a t
Príncep	p ɾ 'i n s e p
Provença	p ɾ o β 'e n s a
Proposta	p ɾ o p 'ɔ s t a
Prodi	p ɾ 'ɔ ð i
Primera	p ɾ i m 'e ɾ a
Prim	p ɾ 'i m
Preventiva	p ɾ e β e n t 'i β a
President	p ɾ e z i ð 'e n
Present	p ɾ e z 'e n
Pregunta	p ɾ e ɣ 'u n t a
Preguem	p ɾ e ɣ 'e m
Prefereixo	p ɾ e f e ɾ 'e j ʃ o
Praga	p ɾ 'a ɣ a
Potent	p o t 'e n
Posà	p o z 'a
Posem	p o z 'e m
Política	p o l 'i t i k a
Politècnica	p o l i t 'ɛ g n i k a
Policia	p o l i s 'i a
Poc	p 'ɔ k
Planta	p l 'a n t a
Planejament	p l a n e ʒ a m 'e n
Pladellorens	p l a ð e ʎ o ɾ 'e n s
Pingu	p 'i ŋ g u
Picasso	p i k 'a s o
Petons	p e t 'o n s
Petits	p e t 'i t s
Petites	p e t 'i t e s
Perramon	p e r a m 'o n
Perill	p e ɾ 'i ʎ
Perelada	p e ɾ e l 'a ð a
Perecamps	p e ɾ e k 'a m s
Pequín	p e k 'i n
Penèlope	p e n 'ɛ l o p e
Pensar	p e n s 'a
Penal	p e n 'a l
Peix	p 'e j ʃ
Països	p a 'i z o s
Patronat	p a t ɾ o n 'a t
Patras	p 'a t ɾ a s
Patint	p a t 'i n
Patinades	p a t i n 'a ð e s
Passi	p 'a s i
Passaven	p a s 'a β e n
Passan	p a s 'a n
Passades	p a s 'a ð e s
Parisencs	p a ɾ i z 'e ŋ s
Parella	p a ɾ 'e ʎ a
Pare	p 'a ɾ e
Para	p 'a ɾ a
Pantalla	p a n t 'a ʎ a
Pantalla	p a n t 'a ʎ a
Palmeral	p a l m e ɾ 'a l
Palmell	p a l m 'e ʎ
Pallejà	p a ʎ e ʒ 'a
Palamós	p a l a m 'o s
Pagues	p 'a ɣ e s
Pagar	p a ɣ 'a
Paeria	p a e ɾ 'i a
Pablo	p 'a β l o
PIN	p 'i n
PIME	p 'i m e
Ovni	'ɔ b n i
Oslo	'ɔ z l o
Opinar	o p i n 'a
Opina	o p 'i n a
Omple	'o m p l e
Oficina	o f i s 'i n a
Oferim	o f e ɾ 'i m
Ofereixen	o f e ɾ 'e j ʃ e n
Ofereix	o f e ɾ 'e j ʃ
Occidental	o k s i ð e n t 'a l
Obté	o p t 'e
Obrim	o β ɾ 'i m
Obcecada	o p s e k 'a ð a
Nyap	ɲ 'a p
Nota	n 'ɔ t a
Nominalia	n o m i n a l 'i a
Nois	n 'ɔ j s
Noguera	n o ɣ 'e ɾ a
Nogueira	n o ɣ 'e j ɾ a
Nivell	n i β 'e ʎ
Nit	n 'i t
Nissaga	n i s 'a ɣ a
Netscape	n e t s k 'a p e
Netejar	n e t e ʒ 'a
Nepal	n e p 'a l
Neix	n 'e j ʃ
Neguit	n e ɣ 'i t
Necessito	n e s e s 'i t o
Necessitat	n e s e s i t 'a t
Necessita	n e s e s 'i t a
Navega	n a β 'e ɣ a
Naturalisme	n a t u ɾ a l 'i z m e
Naixement	n a j ʃ e m 'e n
Nairobi	n a j ɾ 'ɔ β i
N'havia	n a β 'i a
N'estripa	n a s t ɾ 'i p a
N'Anglada	n a ŋ g l 'a ð a
Müller	m u ʎ 'e
Música	m 'u z i k a
Móra	m 'o ɾ a
Mònaco	m 'ɔ n a k o
Mètode	m 'ɛ t o ð e
Munich	m u n 'i k
Mostrarem	m o s t ɾ a ɾ 'e m
Mossos	m 'o s o s
Moriré	m o ɾ i ɾ 'e
Morir	m o ɾ 'i
Moreres	m o ɾ 'e ɾ e s
Moratinos	m o ɾ a t 'i n o s
Montseny	m o n s 'e ɲ
Monitor	m o n i t 'o
Mollerussa	m o ʎ e ɾ 'u s a
Modalitats	m o ð a l i t 'a t s
Mitjà	m i dʒ 'a
Missatger	m i s a dʒ 'e
Mirava	m i ɾ 'a β a
Mirant	m i ɾ 'a n
Minyons	m i ɲ 'o n s
Minsk	m 'i n s k
Minimitzar	m i n i m i d z 'a
Mines	m 'i n e s
Milosevic	m i l o z e β 'i k
Millores	m i ʎ 'o ɾ e s
Millorat	m i ʎ o ɾ 'a t
Mida	m 'i ð a
Mica	m 'i k a
Mesura	m e z 'u ɾ a
Mesa	m 'e z a
Menús	m e n 'u s
Menja	m 'e n dʒ a
Medir	m e ð 'i
Medina	m e ð 'i n a
Medicina	m e ð i s 'i n a
Medi	m 'ɛ ð i
Maximitzar	m a k s i m i d z 'a
Matemàtiques	m a t e m 'a t i k e s
Mataresies	m a t a ɾ e z 'i e s
Marítima	m a ɾ 'i t i m a
Marín	m a ɾ 'i n
Martín	m a ɾ t 'i n
Marisa	m a ɾ 'i z a
Margarita	m a ɾ ɣ a ɾ 'i t a
Mare	m 'a ɾ e
Manga	m 'a ŋ g a
M'inclino	m i ŋ k l 'i n o
M'has	m 'a s
M'apropo	m a p ɾ 'ɔ p o
M'agradaven	m a ɣ ɾ a ð 'a β e n
Légolas	l 'e ɣ o l a s
Lèxic	l 'ɛ k s i k
Lund	l 'u n
Lovaina	l o β 'a j n a
Loteries	l o t e ɾ 'i e s
Lo	l 'o
Lluny	ʎ 'u ɲ
Lluch	ʎ 'u k
Lluc	ʎ 'u k
Lloguer	ʎ o ɣ 'e
Llocs	ʎ 'ɔ k s
Llibres	ʎ 'i β ɾ e s
Lli	ʎ 'i
Llevo	ʎ 'e β o
Llegir	ʎ e ʒ 'i
Llegeix	ʎ e ʒ 'e j ʃ
Llanço	ʎ 'a n s o
Lladró	ʎ a ð ɾ 'o
Ljubljana	l dʒ u β l dʒ 'a n a
Lismi	l 'i z m i
Lisboa	l i z β 'o a
Leopardi	l e o p 'a ɾ ð i
Lectura	l e k t 'u ɾ a
Leandre	l e 'a n d ɾ e
Lat	l 'a t
