A	'a	 a 
s'equivoquen	s e k i v 'o k e n	 s e k i v 'ɔ k e n 
s'ensenyen	s a n s 'e ɲ e n	 s e n s 'ɛ ɲ e n 
s'enlairaria	s a n l a j ɾ a ɾ 'i a	 s e n l a j ɾ a ɾ 'i a 
s'enganxen	s a ŋ g 'a n t ʃ e n	 s e ŋ g 'a n t ʃ e n 
s'endugui	s a n d 'u ɣ i	 s 'e n d 'u ɣ i 
s'encén	s a n s 'e n	 s e n s 'e n 
s'encarrega	s a ŋ k a r 'e ɣ a	 s e ŋ k a r 'ɛ ɣ a 
s'emporti	s a m p 'ɔ ɾ t i	 s e m p 'ɔ ɾ t i 
s'emmiralla	s a m m i ɾ 'a ʎ a	 s e m m i ɾ 'a ʎ a 
s'embolica	s a m b o l 'i k a	 s e m b o l 'i k a 
s'elabora	s e l a β 'o ɾ a	 s e l a β 'ɔ ɾ a 
s'assegurà	s a s e ɣ u ɾ 'a	 s a s e ɣ 'u ɾ 'a 
s'amaguessin	s a m a ɣ 'e s i n	 s a m a ɣ 'ɛ s i n 
s'alimenten	s a l i m 'e n t e n	 s a l i m 'ɛ n t e n 
s'aixequen	s a j ʃ 'e k e n	 s a j ʃ 'ɛ k e n 
s'aixecà	s a j ʃ e k 'a	 s 'a j ʃ e k 'a 
s'aixecava	s a j ʃ e k 'a v a	 s 'a j ʃ e k 'a v a 
s'adreça	s a ð ɾ 'e s a	 s 'a ð ɾ 'ɛ s a 
s'adonen	s a ð 'o n e n	 s a ð 'ɔ n e n 
s'adona	s a ð 'o n a	 s a ð 'ɔ n a 
s'accelera	s a k s e l 'e ɾ a	 s a k s e l 'ɛ ɾ a 
ruleta	r u l 'e t a	 r u l 'ɛ t a 
ruixar	r u j ʃ 'a ɾ	 r i ʃ 'a ɾ 
rugositat	r u ɣ o z i t 'a t	 r 'u ɣ o z i t 'a t 
rotonda	r o t 'o n d a	 r o t 'ɔ n d a 
ronden	r 'o n d e n	 r 'ɔ n d e n 
ronca	r 'o ŋ k a	 r 'ɔ ŋ k a 
rols	r 'ɔ l s	 r 'o l s 
rogenques	r o d ʒ 'e ŋ k e s	 r o d ʒ 'ɛ ŋ k e s 
rodolen	r o ð 'o l e n	 r o ð 'ɔ l e n 
rodejant-ne	r o ð e d ʒ 'a n n e	 r o ð e d ʒ 'a n d n e 
robots	r o β 'ɔ t s	 r o β 'o t s 
riqueses	r i k 'e z e s	 r i k 'ɛ z e s 
retrets	r e t ɾ 'e t s	 r e t ɾ 'ɛ t s 
restallera	r e s t a ʎ 'e ɾ a	 r e s t a ʎ 'ɛ ɾ a 
resseguint	r e s e ɣ 'i n t	 r e s e ɣ u 'i n t 
resplendent	r e s p l e n d 'e n t	 r e s p l e n d 'ɛ n t 
respecto	r e s p 'e k t o	 r e s p 'ɛ k t o 
respectessin	r e s p e k t 'e s i n	 r e s p e k t 'ɛ s i n 
resolem	r e z o l 'e m	 r e z o l 'ɛ m 
resident	r e z i ð 'e n t	 r e z i ð 'ɛ n t 
resen	r 'e z e n	 r 'ɛ z e n 
reptes	r 'e p t e s	 r 'ɛ p t e s 
reproduint-la	r e p ɾ o ð w 'i n l a	 r e p ɾ o ð i i n t l a 
repliquem	r e p l i k 'e m	 r e p l i k 'ɛ m 
repensar-nos-ho	r e p e n s 'a ɾ n o z o	 r e p e n s a ɾ n 'ɔ z o 
rep	r 'e p	 r 'ɛ p 
renoven	r e n 'o v e n	 r e n 'ɔ v e n 
renecs	r e n 'e k s	 r e n 'ɛ k s 
rendiment	r e n d i m 'e n t	 r 'ɛ n d i m 'ɛ n t 
rencontre	r e ŋ k 'o n t ɾ e	 r e ŋ k 'ɔ n t ɾ e 
renaixentistes	r e n a j ʃ e n t 'i s t e s	 r e n 'a j ʃ e n t 'i s t e s 
remot	r e m 'ɔ t	 r e m 'o t 
remetrem	r e m e t ɾ 'e m	 r e m e t ɾ 'ɛ m 
remescles	r e m 'e s k l e s	 r e m 'ɛ s k l e s 
rememora	r e m e m 'o ɾ a	 r e m e m 'ɔ ɾ a 
reintegrament	r e i n t e ɣ ɾ a m 'e n t	 r e 'i n t 'ɛ ɣ ɾ a m 'ɛ n t 
reguladora	r e ɣ u l a ð 'o ɾ a	 r e ɣ u l a ð 'ɔ ɾ a 
regla	r 'e ɣ l a	 r 'ɛ ɣ l a 
regadora	r e ɣ a ð 'o ɾ a	 r e ɣ a ð 'ɔ ɾ a 
refrescants	r e f ɾ e s k 'a n s	 r e f ɾ e s k 'a n t s 
refredament	r e f ɾ e ð a m 'e n t	 r e f ɾ 'ɛ ð a m 'ɛ n t 
referents	r e f e ɾ 'e n s	 r e f e ɾ 'ɛ n t s 
reexaminar	r e e k s a m i n 'a ɾ	 r e e g z a m i n 'a ɾ 
redemptora	r e ð e m t 'o ɾ a	 r e ð e m t 'ɔ ɾ a 
recrema	r e k ɾ 'e m a	 r e k ɾ 'ɛ m a 
recrea	r e k ɾ 'e a	 r e k ɾ 'ɛ a 
recorren	r e k 'o r e n	 r e k 'ɔ r e n 
recordem	r e k o ɾ ð 'e m	 r e k o ɾ ð 'ɛ m 
reconeixent-ne	r e k o n e j ʃ 'e n n e	 r e k o n e j ʃ 'ɛ n d n e 
reconduir-lo	r e k o n d w 'i ɾ l o	 r e k 'o n d z i ɾ l o 
reconduir	r e k o n d w 'i ɾ	 r e k o n d u 'i ɾ 
recomanem	r e k o m a n 'e m	 r e k o m a n 'ɛ m 
recolzo	r e k 'o l z o	 r e k 'ɔ l z o 
recolzem	r e k o l z 'e m	 r e k o l z 'ɛ m 
recolzament	r e k o l z a m 'e n t	 r e k 'ɔ l z a m 'ɛ n t 
recolza	r e k 'o l z a	 r e k 'ɔ l z a 
recents	r e s 'e n s	 r e s 'ɛ n t s 
recelosa	r e s e l 'o z a	 r e s e l 'ɔ z a 
rec	r 'e k	 r 'ɛ k 
rebessin	r e β 'e s i n	 r e β 'ɛ s i n 
realitzés	r e a l i d z 'e s	 r e a l 'i d z 'e s 
raster	r a s t 'e ɾ	 r a s t 'ɛ ɾ 
rasposa	r a s p 'o z a	 r a s p 'ɔ z a 
rails	r 'a j l s	 r 'a 'i l s 
radera	r a ð 'e ɾ a	 r a ð 'ɛ ɾ a 
raconet	r a k o n 'e t	 r a k o n 'ɛ t 
quintet	k i n t 'e t	 k i n t 'ɛ t 
quedes	k 'e ð e s	 k 'ɛ ð e s 
quatrecents	k w a t ɾ e s 'e n s	 k w a t ɾ e s 'ɛ n t s 
pícnic	p 'i g n i k	 p 'i k n i k 
puresa	p u ɾ 'e z a	 p 'u ɾ 'ɛ z a 
punyents	p u ɲ 'e n s	 p u ɲ 'ɛ n t s 
proposo	p ɾ o p 'o z o	 p ɾ o p 'ɔ z o 
properes	p ɾ o p 'e ɾ e s	 p ɾ o p 'ɛ ɾ e s 
prominent	p ɾ o m i n 'e n t	 p ɾ o m i n 'ɛ n t 
prometre'm	p ɾ o m 'e t ɾ e m	 p ɾ o m e t ɾ 'ɛ m 
prometre	p ɾ o m 'e t ɾ e	 p ɾ o m 'ɛ t ɾ e 
prometo	p ɾ o m 'e t o	 p ɾ o m 'ɛ t o 
promeses	p ɾ o m 'e z e s	 p ɾ o m 'ɛ z e s 
proeses	p ɾ o 'e z e s	 p ɾ o 'ɛ z e s 
procrea	p ɾ o k ɾ 'e a	 p ɾ o k ɾ 'ɛ a 
procedirem	p ɾ o s e ð i ɾ 'e m	 p ɾ o s e ð i ɾ 'ɛ m 
procedents	p ɾ o s e ð 'e n s	 p ɾ o s e ð 'ɛ n t s 
preveuen	p ɾ e v 'e w e n	 p ɾ e v 'ɛ w e n 
pretesa	p ɾ e t 'e z a	 p ɾ e t 'ɛ z a 
pretenem	p ɾ e t e n 'e m	 p ɾ e t e n 'ɛ m 
pretendre	p ɾ e t 'e n d ɾ e	 p ɾ e t 'ɛ n d ɾ e 
pretendents	p ɾ e t e n d 'e n s	 p ɾ e t e n d 'ɛ n t s 
presumpta	p ɾ e z 'u m t a	 p ɾ e z 'u m p t a 
prest	p ɾ 'e s t	 p ɾ 'ɛ s t 
presoneres	p ɾ e z o n 'e ɾ e s	 p ɾ e z o n 'ɛ ɾ e s 
presentem	p ɾ e z e n t 'e m	 p ɾ e z e n t 'ɛ m 
presentadora	p ɾ e z e n t a ð 'o ɾ a	 p ɾ e z e n t a ð 'ɔ ɾ a 
prepararem	p ɾ e p a ɾ a ɾ 'e m	 p ɾ e p a ɾ a ɾ 'ɛ m 
preocupem	p ɾ e o k u p 'e m	 p ɾ e o k u p 'ɛ m 
prengueren	p ɾ e ŋ g 'e ɾ e n	 p ɾ e ŋ g 'ɛ ɾ e n 
premsa	p ɾ 'e m s a	 p ɾ 'ɛ m z a 
preguntem	p ɾ e ɣ u n t 'e m	 p ɾ e ɣ 'u n t 'ɛ m 
practicants	p ɾ a k t i k 'a n s	 p ɾ a k t i k 'a n t s 
posem	p o z 'e m	 p o z 'ɛ m 
posarem	p o z a ɾ 'e m	 p o z a ɾ 'ɛ m 
posar-nos-hi	p o z 'a ɾ n o z i	 p o z 'a ɾ n 'ɔ z i 
posant-ne	p o z 'a n n e	 p o z 'a n d n e 
porta-me-les	p 'ɔ ɾ t a m e l e s	 p o ɾ t a m 'ɛ l e s 
porro	p 'o r o	 p 'ɔ r o 
porquets	p o ɾ k 'e t s	 p o ɾ k 'ɛ t s 
popes	p 'o p e s	 p 'ɔ p e s 
polsegosa	p o l s e ɣ 'o z a	 p o l s e ɣ 'ɔ z a 
poder-te	p o ð 'e ɾ t e	 p o ð 'ɛ ɾ t e 
poder-li	p o ð 'e ɾ l i	 p o ð 'ɛ ɾ l i 
poder-la	p o ð 'e ɾ l a	 p o ð 'ɛ ɾ l a 
podent	p o ð 'e n t	 p o ð 'ɛ n t 
pobret	p o β ɾ 'e t	 p o β ɾ 'ɛ t 
poblets	p o β l 'e t s	 p o β l 'ɛ t s 
plumero	p l u m 'e ɾ o	 p l u m 'ɛ ɾ o 
plorem	p l o ɾ 'e m	 p l o ɾ 'ɛ m 
ploraner	p l o ɾ a n 'e ɾ	 p l o ɾ a n 'ɛ ɾ 
plego	p l 'e ɣ o	 p l 'ɛ ɣ o 
plega	p l 'e ɣ a	 p l 'ɛ ɣ a 
plecs	p l 'e k s	 p l 'ɛ k s 
plaçeta	p l a s 'e t a	 p l a s 'ɛ t a 
platea	p l a t 'e a	 p l a t 'ɛ a 
plantejaments	p l a n t e d ʒ a m 'e n s	 p l a n t e d ʒ a m 'ɛ n t s 
planetes	p l a n 'e t e s	 p l a n 'ɛ t e s 
planer	p l a n 'e ɾ	 p l a n 'ɛ ɾ 
planejament	p l a n e d ʒ a m 'e n t	 p l a n 'ɛ d ʒ a m 'ɛ n t 
placidesa	p l a s i ð 'e z a	 p l a s i ð 'ɛ z a 
piset	p i z 'e t	 p i z 'ɛ t 
piscines	p i s 'i n e s	 p i s k 'i n e s 
pintures	p i n t 'u ɾ e s	 p 'i n t 'u ɾ e s 
pintoresca	p i n t o ɾ 'e s k a	 p i n t o ɾ 'ɛ s k a 
pilots	p i l 'ɔ t s	 p i l 'o t s 
pilot	p i l 'ɔ t	 p i l 'o t 
peuets	p e w 'e t s	 p e w 'ɛ t s 
petitona	p e t i t 'o n a	 p e t i t 'ɔ n a 
petards	p e t 'a ɾ t s	 p e t 'a ɾ i s 
pertinents	p e ɾ t i n 'e n s	 p e ɾ t i n 'ɛ n s 
pertenences	p e ɾ t e n 'e n s e s	 p e ɾ t e n 'ɛ n s e s 
pertanyents	p e ɾ t a ɲ 'e n s	 p e ɾ t 'a ɲ 'ɛ n t s 
perseverança	p e ɾ s e v e ɾ 'a n s a	 p 'e ɾ s e v e ɾ 'a n s a 
perruquera	p e r u k 'e ɾ a	 p e r 'u k 'ɛ ɾ a 
perruquer	p e r u k 'e ɾ	 p e r 'u k 'ɛ ɾ 
perpetren	p e ɾ p 'e t ɾ e n	 p e ɾ p 'ɛ t ɾ e n 
permetre'm	p e ɾ m 'e t ɾ e m	 p e ɾ m e t ɾ 'ɛ m 
permesos	p e ɾ m 'e z o s	 p e ɾ m 'ɛ z o s 
permanents	p e ɾ m a n 'e n s	 p e ɾ m a n 'ɛ n s 
perilloses	p e ɾ i ʎ 'o z e s	 p e ɾ i ʎ 'ɔ z e s 
perdudes	p e ɾ ð 'u ð e s	 p 'e ɾ ð 'u ð e s 
perdre-la	p 'ɛ ɾ ð ɾ e l a	 p e ɾ ð ɾ 'ɛ l a 
perdre'm	p 'ɛ ɾ ð ɾ e m	 p e ɾ ð ɾ 'ɛ m 
perdent	p e ɾ ð 'e n t	 p e ɾ ð 'ɛ n t 
penjo	p 'e n d ʒ o	 p 'ɛ n d ʒ o 
penetren	p e n 'e t ɾ e n	 p e n 'ɛ t ɾ e n 
pendents	p e n d 'e n s	 p e n d 'ɛ n t s 
pega	p 'e ɣ a	 p 'ɛ ɣ a 
pebre	p 'e β ɾ e	 p 'ɛ β ɾ e 
patiments	p a t i m 'e n s	 p a t i m 'ɛ n t s 
pastosa	p a s t 'o z a	 p a s t 'ɔ z a 
parlarem	p a ɾ l a ɾ 'e m	 p a ɾ l a ɾ 'ɛ m 
paradetes	p a ɾ a ð 'e t e s	 p a ɾ a ð 'ɛ t e s 
paquets	p a k 'e t s	 p a k 'ɛ t s 
pantera	p a n t 'e ɾ a	 p a n t 'ɛ ɾ a 
panellets	p a n e ʎ 'e t s	 p a n 'e ʎ 'ɛ t s 
panell	p a n 'e ʎ	 p a n 'ɛ l i 
palmera	p a l m 'e ɾ a	 p a l m 'ɛ ɾ a 
palesa	p a l 'e z a	 p a l 'ɛ z a 
paguem	p a ɣ 'e m	 p a ɣ 'ɛ m 
pagaments	p a ɣ a m 'e n s	 p a ɣ a m 'ɛ n t s 
ovelles	o v 'e ʎ e s	 o v 'ɛ ʎ e s 
oscil·la	o s 'i l a	 o s k 'i l a 
oreneta	o ɾ e n 'e t a	 o ɾ e n 'ɛ t a 
orella	o ɾ 'e ʎ a	 o ɾ 'ɛ ʎ a 
ordena	o ɾ ð 'e n a	 o ɾ ð 'ɛ n a 
operen	o p 'e ɾ e n	 o p 'ɛ ɾ e n 
oncle	'o ŋ k l e	 'ɔ ŋ k l e 
oloro	o l 'o ɾ o	 o l 'ɔ ɾ o 
ofrenes	o f ɾ 'e n e s	 o f ɾ 'ɛ n e s 
oferirem	o f e ɾ i ɾ 'e m	 o f e ɾ i ɾ 'ɛ m 
ofendre's	o f 'e n d ɾ e s	 o f e n d ɾ 'ɛ s 
oest	o 'e s t	 o 'ɛ s t 
ocupants	o k u p 'a n s	 o k u p 'a n t s 
ocell	o s 'e ʎ	 o s 'ɛ ʎ 
obtingudes	o p t i ŋ g 'u ð e s	 o p t 'i ŋ g 'u ð e s 
observant-me	o p s e ɾ v 'a m m e	 o p s e ɾ v 'a n d m e 
obrer	o β ɾ 'e ɾ	 o β ɾ 'ɛ ɾ 
oasi	o 'a z i	 o 'a s i 
nuesa	n u 'e z a	 n u 'ɛ z a 
notarem	n o t a ɾ 'e m	 n o t a ɾ 'ɛ m 
nomenament	n o m e n a m 'e n t	 n o m 'ɛ n a m 'ɛ n t 
nombroses	n o m b ɾ 'o z e s	 n o m b ɾ 'ɔ z e s 
ninot	n i n 'ɔ t	 n i n 'o t 
nets	n 'e t s	 n 'ɛ t s 
netes	n 'e t e s	 n 'ɛ t e s 
netegessin	n e t e d ʒ 'e s i n	 n e t e d ʒ 'ɛ s i n 
nedes	n 'e ð e s	 n 'ɛ ð e s 
neden	n 'e ð e n	 n 'ɛ ð e n 
nedadora	n e ð a ð 'o ɾ a	 n e ð a ð 'ɔ ɾ a 
navega	n a v 'e ɣ a	 n a v 'ɛ ɣ a 
navarreses	n a v a r 'e z e s	 n a v a r 'ɛ z e s 
naixent	n a j ʃ 'e n t	 n a j ʃ 'ɛ n t 
naips	n 'a j p s	 n 'a 'i p s 
na	n 'a	 n a 
n'intervindria	n i n t e ɾ v i n d ɾ 'i a	 n 'i n t e ɾ v i n d ɾ 'i a 
n'està	n a s t 'a	 n e s t 'a 
n'estic	n a s t 'i k	 n e s t 'i k 
n'escoltem	n a s k o l t 'e m	 n e s k o l t 'ɛ m 
n'era	n 'e ɾ a	 n 'ɛ ɾ a 
n'arribem	n a r i β 'e m	 n a r i β 'ɛ m 
n'anirem	n a n i ɾ 'e m	 n a n i ɾ 'ɛ m 
musculosos	m u s k u l 'o z o s	 m u s k u l 'ɔ z o s 
muntanyenca	m u n t a ɲ 'e ŋ k a	 m u n t 'a ɲ 'ɛ ŋ k a 
mosso	m 'o s o	 m 'ɔ s o 
mosca	m 'o s k a	 m 'ɔ s k a 
mosaic	m o z 'a j k	 m o z 'a i k 
morses	m 'o ɾ s e s	 m 'ɔ ɾ s e s 
morros	m 'o r o s	 m 'ɔ r o s 
molest	m o l 'e s t	 m o l 'ɛ s t 
moguem	m o ɣ 'e m	 m o ɣ 'ɛ m 
miraments	m i ɾ a m 'e n s	 m i ɾ a m 'ɛ n t s 
minusvalidesa	m i n u z v a l i ð 'e z a	 m i n u z v a l 'i ð 'ɛ z a 
migcampistes	m i k k a m p 'i s t e s	 m 'i ɣ k a m p 'i s t e s 
metros	m 'e t ɾ o s	 m 'ɛ t ɾ o s 
metre	m 'e t ɾ e	 m 'ɛ t ɾ e 
mesurament	m e z u ɾ a m 'e n t	 m e z 'u ɾ a m 'ɛ n t 
mestra	m 'e s t ɾ a	 m 'ɛ s t ɾ a 
mescles	m 'e s k l e s	 m 'ɛ s k l e s 
merlot	m e ɾ l 'ɔ t	 m e ɾ l 'o t 
ments	m 'e n s	 m 'ɛ n t s 
mentider	m e n t i ð 'e ɾ	 m e n t i ð 'ɛ ɾ 
menta	m 'e n t a	 m 'ɛ n t a 
menjadora	m e n d ʒ a ð 'o ɾ a	 m e n d ʒ a ð 'ɔ ɾ a 
mengem	m e n d ʒ 'e m	 m e n d ʒ 'ɛ m 
menes	m 'e n e s	 m 'ɛ n e s 
megahertzos	m e ɣ a 'ɛ ɾ d z o s	 m 'e ɣ a 'ɛ ɾ d z o s 
medicaments	m e ð i k a m 'e n s	 m e ð i k a m 'ɛ n t s 
matineres	m a t i n 'e ɾ e s	 m a t i n 'ɛ ɾ e s 
masmorres	m a z m 'o r e s	 m a z m 'ɔ r e s 
marxessin	m a ɾ t ʃ 'e s i n	 m a ɾ t ʃ 'ɛ s i n 
marcint-me	m a ɾ s 'i m m e	 m a ɾ s 'i n d m e 
maqueta	m a k 'e t a	 m a k 'ɛ t a 
manxec	m a n t ʃ 'e k	 m a n t ʃ 'ɛ k 
mantingut	m a n t i ŋ g 'u t	 m a n t 'i ŋ g 'u t 
mantinguda	m a n t i ŋ g 'u ð a	 m a n t 'i ŋ g 'u ð a 
manifesta	m a n i f 'e s t a	 m a n i f 'ɛ s t a 
mangueres	m a ŋ g 'e ɾ e s	 m a ŋ g 'ɛ ɾ e s 
maneig	m a n 'e t ʃ	 m a n 'ɛ t ʃ 
mandrosos	m a n d ɾ 'o z o s	 m a n d ɾ 'ɔ z o s 
maleta	m a l 'e t a	 m a l 'ɛ t a 
malalts	m a l 'a l s	 m a l 'a l t s 
malaguenya	m a l a ɣ 'e ɲ a	 m a l a ɣ 'ɛ ɲ a 
majestuositat	m a d ʒ e s t u o z i t 'a t	 m 'a d ʒ e s t u o z i t 'a t 
majestuosa	m a d ʒ e s t u 'o z a	 m 'a d ʒ e s t u 'ɔ z a 
maixella	m a j ʃ 'e ʎ a	 m a j ʃ 'ɛ ʎ a 
magatzem	m a ɣ a d z 'e m	 m a ɣ a d z 'ɛ m 
madrileny	m a ð ɾ i l 'e ɲ	 m a ð ɾ i l 'ɛ ɲ 
ma	m 'a	 m a 
m'hagis	m 'a d ʒ i s	 m 'ɔ d ʒ i s 
locutores	l o k u t 'o ɾ e s	 l o k u t 'ɔ ɾ e s 
lluenta	ʎ u 'e n t a	 ʎ u 'ɛ n t a 
llonguets	ʎ o ŋ g 'e t s	 ʎ o ŋ g 'ɛ t s 
llibret	ʎ i β ɾ 'e t	 ʎ i β ɾ 'ɛ t 
lletrejar	ʎ e t ɾ e d ʒ 'a ɾ	 ʎ 'e t ɾ e d ʒ 'a ɾ 
lletra	ʎ 'e t ɾ a	 ʎ 'ɛ t ɾ a 
llesta	ʎ 'e s t a	 ʎ 'ɛ s t a 
lleopards	ʎ e o p 'a ɾ t s	 ʎ e o p 'a ɾ i s 
llenço	ʎ 'e n s o	 ʎ 'ɛ n s o 
llenya	ʎ 'e ɲ a	 ʎ 'ɛ ɲ a 
llengüetes	ʎ e ŋ g w 'e t e s	 ʎ 'e ŋ g w 'ɛ t e s 
llengües	ʎ 'e ŋ g w e s	 ʎ 'ɛ ŋ g e s 
llencen	ʎ 'e n s e n	 ʎ 'ɛ n s e n 
llegendes	ʎ e d ʒ 'e n d e s	 ʎ e d ʒ 'ɛ n d e s 
llambordes	ʎ a m b 'o ɾ ð e s	 ʎ a m b 'ɔ ɾ ð e s 
litosfera	l i t o s f 'e ɾ a	 l 'i t o s f 'ɛ ɾ a 
lepra	l 'e p ɾ a	 l 'ɛ p ɾ a 
lentes	l 'e n t e s	 l 'ɛ n t e s 
latent	l a t 'e n t	 l a t 'ɛ n t 
laments	l a m 'e n s	 l a m 'ɛ n t s 
lamento	l a m 'e n t o	 l a m 'ɛ n t o 
l'àlgebra	l 'a l d ʒ e β ɾ a	 l 'a d ʒ e β ɾ a 
l'interessava	l i n t e ɾ e s 'a v a	 l 'i n t e ɾ e s 'a v a 
l'harmònica	l a ɾ m 'ɔ n i k a	 ʎ a ɾ m 'ɔ n i k a 
l'algebraic	l a l d ʒ e β ɾ 'a j k	 l a l d ʒ e β ɾ 'a i k 
l'adequada	l a ð e k w 'a ð a	 l 'a ð e k w 'a ð a 
l'Umbert	l u m b 'ɛ ɾ t	 l 'u m b 'ɛ ɾ t 
l'Hotel	l o t 'ɛ l	 l 'ɔ t 'ɛ l 
justificants	d ʒ u s t i f i k 'a n s	 d ʒ u s t i f i k 'a n t s 
jurament	d ʒ u ɾ a m 'e n t	 d ʒ 'u ɾ a m 'ɛ n t 
juganeres	d ʒ u ɣ a n 'e ɾ e s	 d ʒ u ɣ a n 'ɛ ɾ e s 
juganer	d ʒ u ɣ a n 'e ɾ	 d ʒ u ɣ a n 'ɛ ɾ 
jugadora	d ʒ u ɣ a ð 'o ɾ a	 d ʒ u ɣ a ð 'ɔ ɾ a 
jueva	d ʒ u 'e v a	 d ʒ u 'ɛ v a 
jovenets	d ʒ o v e n 'e t s	 d ʒ o v e n 'ɛ t s 
jovenet	d ʒ o v e n 'e t	 d ʒ o v e n 'ɛ t 
jardinet	d ʒ a ɾ ð i n 'e t	 d ʒ a ɾ ð i n 'ɛ t 
japonesos	d ʒ a p o n 'e z o s	 d ʒ a p o n 'ɛ z o s 
jamaicans	d ʒ a m a j k 'a n s	 d ʒ a m a i k 'a n s 
irlandesa	i ɾ l a n d 'e z a	 i ɾ l a n d 'ɛ z a 
intèrpret	i n t 'ɛ ɾ p ɾ e t	 i n t 'ɛ ɾ p ɾ 'e t 
intrínsecs	i n t ɾ 'i n s e k s	 i n t ɾ 'i n s 'e k s 
introduir-lo	i n t ɾ o ð w 'i ɾ l o	 i n t ɾ o ð i 'i ɾ l o 
interrompre	i n t e r 'o m p ɾ e	 i n t e r 'ɔ m p ɾ e 
interessin	i n t e ɾ 'e s i n	 i n t e ɾ 'ɛ s i n 
intentem	i n t e n t 'e m	 i n t e n t 'ɛ m 
intentarem	i n t e n t a ɾ 'e m	 i n t e n t a ɾ 'ɛ m 
intensos	i n t 'e n s o s	 i n t 'ɛ n s o s 
intensa	i n t 'e n s a	 i n t 'ɛ n s a 
integradora	i n t e ɣ ɾ a ð 'o ɾ a	 i n t e ɣ ɾ a ð 'ɔ ɾ a 
insistent	i n s i s t 'e n t	 i n s i s t 'ɛ n t 
insatisfets	i n s a t i s f 'e t s	 i n s 'a t i s f 'ɛ t s 
insatisfeta	i n s a t i s f 'e t a	 i n s 'a t i s f 'ɛ t a 
innovadores	i n n o v a ð 'o ɾ e s	 i n n o v a ð 'ɔ ɾ e s 
innocent	i n n o s 'e n t	 i n n o s 'ɛ n t 
ingresses	i ŋ g ɾ 'e s e s	 i ŋ g ɾ 'ɛ s e s 
indulgent	i n d u l d ʒ 'e n t	 i n d 'u l d ʒ 'ɛ n t 
indrets	i n d ɾ 'e t s	 i n d ɾ 'ɛ t s 
indret	i n d ɾ 'e t	 i n d ɾ 'ɛ t 
indiferent	i n d i f e ɾ 'e n t	 i n d i f e ɾ 'ɛ n t 
indescriptible	i n d e s k ɾ i p t 'i β l e	 i n d e s k ɾ 'i p t 'i β l e 
incorporem	i ŋ k o ɾ p o ɾ 'e m	 i ŋ k o ɾ p o ɾ 'ɛ m 
incorpora	i ŋ k o ɾ p 'o ɾ a	 i ŋ k o ɾ p 'ɔ ɾ a 
incoherents	i ŋ k o e ɾ 'e n s	 i ŋ k o e ɾ 'ɛ n t s 
incidents	i n s i ð 'e n s	 i n s i ð 'ɛ n t s 
improcedent	i m p ɾ o s e ð 'e n t	 i m p ɾ o s e ð 'ɛ n t 
impresa	i m p ɾ 'e z a	 i m p ɾ 'ɛ z a 
importadores	i m p o ɾ t a ð 'o ɾ e s	 i m p o ɾ t a ð 'ɔ ɾ e s 
import	i m p 'ɔ ɾ t	 i m p 'o ɾ t 
impediments	i m p e ð i m 'e n s	 i m p e ð i m 'ɛ n t s 
imaginem	i m a d ʒ i n 'e m	 i m a d ʒ i n 'ɛ m 
illot	i ʎ 'ɔ t	 i ʎ 'o t 
híbrid	'i β ɾ i t	 i β ɾ i t 
hotelera	o t e l 'e ɾ a	 o t e l 'ɛ ɾ a 
hoteler	o t e l 'e ɾ	 o t e l 'ɛ ɾ 
hostesses	o s t 'e s e s	 o s t 'ɛ s e s 
hora	'ɔ ɾ a	 a ɾ a 
hongaresos	o ŋ g a ɾ 'e z o s	 o ŋ g 'a ɾ 'ɛ z o s 
homenots	o m e n 'ɔ t s	 o m e n 'o t s 
himnes	'i m n e s	 u 'i m n e s 
haguessis	a ɣ 'e s i s	 a ɣ 'ɛ s i s 
haguessin	a ɣ 'e s i n	 a ɣ 'ɛ s i n 
hagis	'a d ʒ i s	 'ɔ d ʒ i s 
guspires	g u s p 'i ɾ e s	 g 'u s p 'i ɾ e s 
guspira	g u s p 'i ɾ a	 g 'u s p 'i ɾ a 
guixots	g i ʃ 'ɔ t s	 g i ʃ 'o t s 
guinguetes	g i ŋ g 'e t e s	 g i ŋ g 'u 'ɛ t e s 
guinda	g 'i n d a	 g w 'i n d a 
guetos	g 'e t o s	 g 'ɛ t o s 
guanyem	g w a ɲ 'e m	 g w a ɲ 'ɛ m 
guanyarem	g w a ɲ a ɾ 'e m	 g w a ɲ a ɾ 'ɛ m 
guanyant-me	g w a ɲ 'a m m e	 g w a ɲ 'a n d m e 
guacamais	g w a k a m 'a j s	 g w a k a m 'a i s 
grupet	g ɾ u p 'e t	 g ɾ u p 'ɛ t 
grollera	g ɾ o ʎ 'e ɾ a	 g ɾ 'o ʎ 'ɛ ɾ a 
groguenc	g ɾ o ɣ 'e ŋ k	 g ɾ 'ɔ ɣ 'ɛ ŋ k 
grinyolen	g ɾ i ɲ 'o l e n	 g ɾ i ɲ 'ɔ l e n 
greixos	g ɾ 'e j ʃ o s	 g ɾ 'ɛ j ʃ o s 
granger	g ɾ a n d ʒ 'e ɾ	 g ɾ a n d ʒ 'ɛ ɾ 
grandeta	g ɾ a n d 'e t a	 g ɾ a n d 'ɛ t a 
gossera	g o s 'e ɾ a	 g o s 'ɛ ɾ a 
gols	g 'ɔ l s	 g 'o l s 
golfo	g 'o l f o	 g 'ɔ l f o 
