a	ə
prenguem	p ɾ ə ŋ g 'ə m
prengueren	p ɾ ə ŋ g 'e ɾ ə n
prenguessin	p ɾ ə ŋ g 'e s i n
prengueu	p ɾ ə ŋ g 'ɛ w
prengui	p ɾ 'ɛ ŋ g i
prenguin	p ɾ 'ɛ ŋ g i n
prenguis	p ɾ 'ɛ ŋ g i s
prengué	p ɾ ə ŋ g 'e
prengués	p ɾ ə ŋ g 'e s
prenguéssim	p ɾ ə ŋ g 'e s i m
prenia	p ɾ ə n 'i ə
prenien	p ɾ ə n 'i ə n
prens	p ɾ 'ə n s
prenyada	p ɾ ə ɲ 'a ð ə
prenyat	p ɾ ə ɲ 'a t
preníem	p ɾ ə n 'i ə m
preocupa	p ɾ ə o k 'u p ə
preocupacions	p ɾ ə o k u p ə s i 'o n s
preocupació	p ɾ ə o k u p ə s i 'o
preocupada	p ɾ ə o k u p 'a ð ə
preocupades	p ɾ ə o k u p 'a ð ə s
preocupant	p ɾ ə o k u p 'a n t
preocupantment	p ɾ ˌ ɛ o k u p ˌ a n m 'e n t
preocupants	p ɾ ˌ ɛ o k u p 'a n s
preocupar	p ɾ ə o k u p 'a
preocuparan	p ɾ ə o k u p ə ɾ 'a n
preocuparia	p ɾ ə o k u p ə ɾ 'i ə
preocuparse	p ɾ ˌ ɛ o k u p 'a ɾ s ə
preocuparvos	p ɾ ˌ ɛ o k u p 'a ɾ v o s
preocupat	p ɾ ə o k u p 'a t
preocupats	p ɾ ə o k u p 'a t s
preocupava	p ɾ ə o k u p 'a v ə
preocupaven	p ɾ ə o k u p 'a v ə n
preocupem	p ɾ ə o k u p 'ə m
preocupen	p ɾ ə o k 'u p ə n
preocupessin	p ɾ ə o k u p 'e s i n
preocupeu	p ɾ ə o k u p 'ɛ w
preocupi	p ɾ ə o k 'u p i
preocupin	p ɾ ə o k 'u p i n
preocupis	p ɾ ə o k 'u p i s
preocupo	p ɾ ə o k 'u p o
preolímpica	p ɾ ˌ ɛ o l 'i m p i k ə
prepagament	p ɾ ˌ ɛ p ə ɣ ə m 'e n t
prepara	p ɾ ə p 'a ɾ ə
preparacions	p ɾ ə p ə ɾ ə s i 'o n s
preparació	p ɾ ə p ə ɾ ə s i 'o
preparada	p ɾ ə p ə ɾ 'a ð ə
preparades	p ɾ ə p ə ɾ 'a ð ə s
preparador	p ɾ ə p ə ɾ ə ð 'o
preparadores	p ɾ ə p ə ɾ ə ð 'o ɾ ə s
preparadors	p ɾ ə p ə ɾ ə ð 'o s
preparant	p ɾ ˌ ɛ p ə ɾ 'a n t
preparantse	p ɾ ˌ ɛ p ə ɾ 'a n s ə
preparantvos	p ɾ ˌ ɛ p ə ɾ 'a n t v o s
preparar	p ɾ ə p ə ɾ 'a
prepararan	p ɾ ə p ə ɾ ə ɾ 'a n
prepararem	p ɾ ə p ə ɾ ə ɾ 'ə m
prepararho	p ɾ ˌ ɛ p ə ɾ 'a ɾ o
prepararlo	p ɾ ˌ ɛ p ə ɾ 'a ɾ l o
prepararme	p ɾ ˌ ɛ p ə ɾ 'a ɾ m ə
prepararnos	p ɾ ˌ ɛ p ə ɾ 'a ɾ n o s
prepararse	p ɾ ˌ ɛ p ə ɾ 'a ɾ s ə
prepararte	p ɾ ˌ ɛ p ə ɾ 'a ɾ t ə
prepararvos	p ɾ ˌ ɛ p ə ɾ 'a ɾ v o s
prepararà	p ɾ ə p ə ɾ ə ɾ 'a
prepararé	p ɾ ə p ə ɾ ə ɾ 'e
preparat	p ɾ ə p ə ɾ 'a t
preparatius	p ɾ ə p ə ɾ ə t 'i w s
preparatori	p ɾ ə p ə ɾ ə t 'ɔ ɾ i
preparatoris	p ɾ ə p ə ɾ ə t 'ɔ ɾ i s
preparats	p ɾ ə p ə ɾ 'a t s
preparatòria	p ɾ ə p ə ɾ ə t 'ɔ ɾ i ə
preparatòries	p ɾ ə p ə ɾ ə t 'ɔ ɾ i ə s
preparava	p ɾ ə p ə ɾ 'a v ə
preparaven	p ɾ ə p ə ɾ 'a v ə n
preparem	p ɾ ə p ə ɾ 'ə m
preparen	p ɾ ə p 'a ɾ ə n
preparessin	p ɾ ə p ə ɾ 'e s i n
prepareu	p ɾ ə p ə ɾ 'ɛ w
prepareuvos	p ɾ ˌ ɛ p ə ɾ 'e w v o s
prepari	p ɾ ə p 'a ɾ i
preparin	p ɾ ə p 'a ɾ i n
preparo	p ɾ ə p 'a ɾ o
preparà	p ɾ ə p ə ɾ 'a
preparàvem	p ɾ ə p ə ɾ 'a v ə m
preparés	p ɾ ə p ə ɾ 'e s
prepirinenca	p ɾ ˌ ɛ p i ɾ i n 'ə ŋ k ə
preponderant	p ɾ ə p o n d ə ɾ 'a n t
preponderància	p ɾ ə p o n d ə ɾ 'a n s i ə
preposicions	p ɾ ə p o z i s i 'o n s
preposició	p ɾ ə p o z i s i 'o
prepotent	p ɾ ə p o t 'e n t
prepotents	p ɾ ə p o t 'e n s
prepotència	p ɾ ə p o t 'ə n s i ə
prepotències	p ɾ ə p o t 'ə n s i ə s
preproducció	p ɾ ˌ ɛ p ɾ o ð u t s i 'o
preprograma	p ɾ ˌ ɛ p ɾ o ɣ ɾ 'a m ə
prepublicació	p ɾ ˌ ɛ p u β l i k ə s i 'o
prerafaelites	p ɾ ˌ ɛ r ə f ə ə l 'i t ə s
preromàntics	p ɾ ˌ ɛ r o m 'a n t i t s
prerrogativa	p ɾ ə r o ɣ ə t 'i v ə
prerrogatives	p ɾ ə r o ɣ ə t 'i v ə s
pres	p ɾ 'e s
presa	p ɾ 'ə z ə
presagi	p ɾ ə z 'a ʒ i
presagia	p ɾ ə z ə ʒ 'i ə
presagiar	p ɾ ə z ə ʒ i 'a
presagis	p ɾ ə z 'a ʒ i s
presbiteral	p ɾ ə z β i t ə ɾ 'a l
prescindeix	p ɾ ə t s i n d 'ə ʃ
prescindeixen	p ɾ ə t s i n d 'ə ʃ ə n
prescindeixi	p ɾ ə t s i n d 'ə ʃ i
prescindia	p ɾ ə t s i n d 'i ə
prescindible	p ɾ ə t s i n d 'i b b l ə
prescindibles	p ɾ ə t s i n d 'i b b l ə s
prescindim	p ɾ ə t s i n d 'i m
prescindint	p ɾ ə t s i n d 'i n t
prescindir	p ɾ ə t s i n d 'i
prescindirne	p ɾ ˌ ɛ t s i n d 'i ɾ n ə
prescindit	p ɾ ə t s i n d 'i t
prescripcions	p ɾ ə s k ɾ i t s i 'o n s
prescripció	p ɾ ə s k ɾ i t s i 'o
prescriptor	p ɾ ˌ ɛ s k ɾ i t t 'o
prescriptors	p ɾ ˌ ɛ s k ɾ i t t 'o s
prescrit	p ɾ ə s k ɾ 'i t
prescrits	p ɾ ə s k ɾ 'i t s
prescriu	p ɾ ə s k ɾ 'i w
prescriuen	p ɾ ə s k ɾ 'i w ə n
prescriure	p ɾ ə s k ɾ 'i w ɾ ə
preseleccionades	p ɾ ˌ ɛ s ə l ə t s i o n 'a ð ə s
preseleccionat	p ɾ ˌ ɛ s ə l ə t s i o n 'a t
preseleccionats	p ɾ ˌ ɛ s ə l ə t s i o n 'a t s
preselecció	p ɾ ˌ ɛ s ə l ə t s i 'o
presencia	p ɾ ə z ə n s 'i ə
presencial	p ɾ ə z ə n s i 'a l
presencialment	p ɾ ə z ə n s i ˌ a l m 'e n t
presencials	p ɾ ə z ə n s i 'a l s
presenciar	p ɾ ə z ə n s i 'a
presenciat	p ɾ ə z ə n s i 'a t
present	p ɾ ə z 'e n t
presenta	p ɾ ə z 'e n t ə
presentable	p ɾ ə z ə n t 'a b b l ə
presentables	p ɾ ə z ə n t 'a b b l ə s
presentacions	p ɾ ə z ə n t ə s i 'o n s
presentació	p ɾ ə z ə n t ə s i 'o
presentada	p ɾ ə z ə n t 'a ð ə
presentades	p ɾ ə z ə n t 'a ð ə s
presentador	p ɾ ə z ə n t ə ð 'o
presentadora	p ɾ ə z ə n t ə ð 'o ɾ ə
presentadores	p ɾ ə z ə n t ə ð 'o ɾ ə s
presentadors	p ɾ ə z ə n t ə ð 'o s
presentamel	p ɾ ˌ ɛ s ə n t ə m 'ɛ l
presentant	p ɾ ˌ ɛ s ə n t 'a n t
presentanthi	p ɾ ˌ ɛ s ə n t 'a n t i
presentantlo	p ɾ ˌ ɛ s ə n t 'a n l o
presentantse	p ɾ ˌ ɛ s ə n t 'a n s ə
presentar	p ɾ ə z ə n t 'a
presentaran	p ɾ ə z ə n t ə ɾ 'a n
presentarem	p ɾ ə z ə n t ə ɾ 'ə m
presentarhi	p ɾ ˌ ɛ s ə n t 'a ɾ i
presentarho	p ɾ ˌ ɛ s ə n t 'a ɾ o
presentaria	p ɾ ə z ə n t ə ɾ 'i ə
presentarien	p ɾ ə z ə n t ə ɾ 'i ə n
presentarla	p ɾ ˌ ɛ s ə n t 'a ɾ l ə
presentarles	p ɾ ˌ ɛ s ə n t 'a ɾ l ə s
presentarli	p ɾ ˌ ɛ s ə n t 'a ɾ l i
presentarlo	p ɾ ˌ ɛ s ə n t 'a ɾ l o
presentarlos	p ɾ ˌ ɛ s ə n t 'a ɾ l o s
presentarme	p ɾ ˌ ɛ s ə n t 'a ɾ m ə
presentarne	p ɾ ˌ ɛ s ə n t 'a ɾ n ə
presentarnos	p ɾ ˌ ɛ s ə n t 'a ɾ n o s
presentarse	p ɾ ˌ ɛ s ə n t 'a ɾ s ə
presentarshi	p ɾ ˌ ɛ s ə n t 'a ɾ s i
presentarà	p ɾ ə z ə n t ə ɾ 'a
presentaré	p ɾ ə z ə n t ə ɾ 'e
presentat	p ɾ ə z ə n t 'a t
presentats	p ɾ ə z ə n t 'a t s
presentava	p ɾ ə z ə n t 'a v ə
presentaven	p ɾ ə z ə n t 'a v ə n
presentem	p ɾ ə z ə n t 'ə m
presenten	p ɾ ə z 'e n t ə n
presentes	p ɾ ə z 'e n t ə s
presentessin	p ɾ ə z ə n t 'e s i n
presenteu	p ɾ ə z ə n t 'ɛ w
presenti	p ɾ ə z 'ɛ n t i
presentin	p ɾ ə z 'e n t i n
presento	p ɾ ə z 'e n t o
presents	p ɾ ə z 'e n s
presentà	p ɾ ə z ə n t 'a
presentàvem	p ɾ ə z ə n t 'a v ə m
presentés	p ɾ ə z ə n t 'e s
preserva	p ɾ ə z 'ɛ ɾ v ə
preservació	p ɾ ə z ə ɾ v ə s i 'o
preservada	p ɾ ə z ə ɾ v 'a ð ə
preservant	p ɾ ə z ə ɾ v 'a n t
preservar	p ɾ ə z ə ɾ v 'a
preservarla	p ɾ ˌ ɛ s ə ɾ v 'a ɾ l ə
preservarles	p ɾ ˌ ɛ s ə ɾ v 'a ɾ l ə s
preservarne	p ɾ ˌ ɛ s ə ɾ v 'a ɾ n ə
preservarnos	p ɾ ˌ ɛ s ə ɾ v 'a ɾ n o s
preservat	p ɾ ə z ə ɾ v 'a t
preservatiu	p ɾ ə z ə ɾ v ə t 'i w
preservatius	p ɾ ə z ə ɾ v ə t 'i w s
preservats	p ɾ ə z ə ɾ v 'a t s
preservi	p ɾ ə z 'ɛ ɾ v i
preservin	p ɾ ə z 'ɛ ɾ v i n
preses	p ɾ 'ə z ə s
presideix	p ɾ ə z i ð 'ə ʃ
presideixen	p ɾ ə z i ð 'ə ʃ ə n
presideixi	p ɾ ə z i ð 'ə ʃ i
presideixo	p ɾ ə z i ð 'ə ʃ o
presidencial	p ɾ ə z i ð ə n s i 'a l
presidencialista	p ɾ ə z i ð ə n s i ə l 'i s t ə
presidencials	p ɾ ə z i ð ə n s i 'a l s
president	p ɾ ə z i ð 'e n t
presidenta	p ɾ ə z i ð 'e n t ə
presidentdirector	p ɾ ˌ ɛ s i ð ə n d d i ɾ ə t t 'o
presidentes	p ɾ ə z i ð 'e n t ə s
presidents	p ɾ ə z i ð 'e n s
presidi	p ɾ ˌ ɛ s 'i ð i
presidia	p ɾ ə z i ð 'i ə
presidiari	p ɾ ə z i ð i 'a ɾ i
presidiaris	p ɾ ə z i ð i 'a ɾ i s
presidida	p ɾ ə z i ð 'i ð ə
presidides	p ɾ ə z i ð 'i ð ə s
presidint	p ɾ ə z i ð 'i n t
presidir	p ɾ ə z i ð 'i
presidirla	p ɾ ˌ ɛ s i ð 'i ɾ l ə
presidirà	p ɾ ə z i ð i ɾ 'a
presidit	p ɾ ə z i ð 'i t
presidits	p ɾ ə z i ð 'i t s
presidència	p ɾ ə z i ð 'ə n s i ə
presidències	p ɾ ə z i ð 'ə n s i ə s
presidí	p ɾ ə z i ð 'i
presidís	p ɾ ə z i ð 'i s
presoner	p ɾ ə z o n 'e
presonera	p ɾ ə z o n 'e ɾ ə
presoneres	p ɾ ə z o n 'e ɾ ə s
presoners	p ɾ ə z o n 'e s
presons	p ɾ ə z 'o n s
presos	p ɾ 'ə z o s
pressa	p ɾ 'e s ə
pressentiment	p ɾ ə s ə n t i m 'e n t
pressento	p ɾ ˌ ɛ s 'e n t o
presses	p ɾ 'e s ə s
pressiona	p ɾ ə s i 'o n ə
pressionada	p ɾ ə s i o n 'a ð ə
pressionant	p ɾ ə s i o n 'a n t
pressionantnos	p ɾ ˌ ɛ s i o n 'a n n o s
pressionantse	p ɾ ˌ ɛ s i o n 'a n s ə
pressionantvos	p ɾ ˌ ɛ s i o n 'a n t v o s
pressionar	p ɾ ə s i o n 'a
pressionaran	p ɾ ə s i o n ə ɾ 'a n
pressionarem	p ɾ ə s i o n ə ɾ 'ə m
pressionarla	p ɾ ˌ ɛ s i o n 'a ɾ l ə
pressionarles	p ɾ ˌ ɛ s i o n 'a ɾ l ə s
pressionarlos	p ɾ ˌ ɛ s i o n 'a ɾ l o s
pressionarnos	p ɾ ˌ ɛ s i o n 'a ɾ n o s
pressionarà	p ɾ ə s i o n ə ɾ 'a
pressionat	p ɾ ə s i o n 'a t
pressionats	p ɾ ə s i o n 'a t s
pressionava	p ɾ ə s i o n 'a v ə
pressionaven	p ɾ ə s i o n 'a v ə n
pressionen	p ɾ ə s i 'o n ə n
pressioni	p ɾ ə s i 'ɔ n i
pressionin	p ɾ ə s i 'ɔ n i n
pressions	p ɾ ə s i 'o n s
pressionés	p ɾ ə s i o n 'e s
pressió	p ɾ ə s i 'o
pressuposa	p ɾ ə s u p 'o z ə
pressuposar	p ɾ ə s u p o z 'a
pressuposat	p ɾ ə s u p o z 'a t
pressuposen	p ɾ ə s u p 'o z ə n
pressuposicions	p ɾ ə s u p o z i s i 'o n s
pressupost	p ɾ ə s u p 'o s t
pressupostada	p ɾ ə s u p o s t 'a ð ə
pressupostades	p ɾ ə s u p o s t 'a ð ə s
pressupostari	p ɾ ə s u p o s t 'a ɾ i
pressupostaris	p ɾ ə s u p o s t 'a ɾ i s
pressupostat	p ɾ ə s u p o s t 'a t
pressupostats	p ɾ ə s u p o s t 'a t s
pressupostista	p ɾ ˌ ɛ s u p o s t 'i s t ə
pressupostos	p ɾ ə s u p 'o s t o s
pressupostària	p ɾ ə s u p o s t 'a ɾ i ə
pressupostàries	p ɾ ə s u p o s t 'a ɾ i ə s
pressupòsits	p ɾ ə s u p 'ɔ z i t s
prest	p ɾ 'e s t
presta	p ɾ 'e s t ə
prestacions	p ɾ ə s t ə s i 'o n s
prestació	p ɾ ə s t ə s i 'o
prestada	p ɾ ə s t 'a ð ə
prestades	p ɾ ə s t 'a ð ə s
prestador	p ɾ ə s t ə ð 'o
prestadors	p ɾ ə s t ə ð 'o s
prestamista	p ɾ ˌ ɛ s t ə m 'i s t ə
prestant	p ɾ ə s t 'a n t
prestar	p ɾ ə s t 'a
prestaran	p ɾ ə s t ə ɾ 'a n
prestarli	p ɾ ˌ ɛ s t 'a ɾ l i
prestarse	p ɾ ˌ ɛ s t 'a ɾ s ə
prestarà	p ɾ ə s t ə ɾ 'a
prestat	p ɾ ə s t 'a t
prestatge	p ɾ ə s t 'a dʒ ə
prestatgeria	p ɾ ə s t ə dʒ ə ɾ 'i ə
prestatgeries	p ɾ ə s t ə dʒ ə ɾ 'i ə s
prestatges	p ɾ ə s t 'a dʒ ə s
prestats	p ɾ ə s t 'a t s
prestava	p ɾ ə s t 'a v ə
presten	p ɾ 'e s t ə n
prestes	p ɾ 'e s t ə s
prestesa	p ɾ ə s t 'ə z ə
prestessis	p ɾ ə s t 'e s i s
presti	p ɾ 'ɛ s t i
prestidigitació	p ɾ ə s t i ð i ʒ i t ə s i 'o
prestidigitador	p ɾ ə s t i ð i ʒ i t ə ð 'o
prestigi	p ɾ ə s t 'i ʒ i
prestigiar	p ɾ ə s t i ʒ i 'a
prestigiat	p ɾ ə s t i ʒ i 'a t
prestigio	p ɾ ə s t i ʒ 'i o
prestigiosa	p ɾ ə s t i ʒ i 'o z ə
prestigioses	p ɾ ə s t i ʒ i 'o z ə s
prestigiosos	p ɾ ə s t i ʒ i 'o z o s
prestigiós	p ɾ ə s t i ʒ i 'o s
prestin	p ɾ 'ɛ s t i n
presto	p ɾ 'e s t o
prestés	p ɾ ə s t 'e s
presumeix	p ɾ ə z u m 'ə ʃ
presumeixen	p ɾ ə z u m 'ə ʃ ə n
presumeixes	p ɾ ə z u m 'ə ʃ ə s
presumeixo	p ɾ ə z u m 'ə ʃ o
presumia	p ɾ ə z u m 'i ə
presumible	p ɾ ə z u m 'i b b l ə
presumiblement	p ɾ ə z u m ˌ i b b l ə m 'e n t
presumint	p ɾ ə z u m 'i n t
presumir	p ɾ ə z u m 'i
presumiu	p ɾ ə z u m 'i w
presumpció	p ɾ ə z u m s i 'o
presumpta	p ɾ ə z 'u m t ə
presumptament	p ɾ ə z ˌ u m t ə m 'e n t
presumpte	p ɾ ə z 'u m t ə
presumptes	p ɾ ə z 'u m t ə s
presumptuosa	p ɾ ə z u m t u 'o z ə
presumptuós	p ɾ ə z u m t u 'o s
presència	p ɾ ə z 'ə n s i ə
presències	p ɾ ə z 'ə n s i ə s
presó	p ɾ ə z 'o
pretemporada	p ɾ ˌ ɛ t ə m p o ɾ 'a ð ə
pretenc	p ɾ ə t 'ə ŋ k
pretendent	p ɾ ə t ə n d 'e n t
pretendents	p ɾ ə t ə n d 'e n s
pretendre	p ɾ ə t 'e n d ɾ ə
pretendreho	p ɾ ˌ ɛ t ə n d ɾ 'e o
pretendreu	p ɾ ə t ə n d ɾ 'ɛ w
pretendria	p ɾ ə t ə n d ɾ 'i ə
pretendrà	p ɾ ə t ə n d ɾ 'a
pretenem	p ɾ ə t ə n 'ə m
pretenen	p ɾ ə t 'e n ə n
pretenent	p ɾ ə t ə n 'e n t
preteneu	p ɾ ə t ə n 'ɛ w
pretengueu	p ɾ ə t ə ŋ g 'ɛ w
pretengui	p ɾ ə t 'ɛ ŋ g i
pretenguin	p ɾ ə t 'ɛ ŋ g i n
pretengués	p ɾ ə t ə ŋ g 'e s
pretenia	p ɾ ə t ə n 'i ə
pretenien	p ɾ ə t ə n 'i ə n
pretenies	p ɾ ə t ə n 'i ə s
pretens	p ɾ ə t 'ə n s
pretensions	p ɾ ə t ə n s i 'o n s
pretensiosa	p ɾ ə t ə n s i 'o z ə
pretensiosament	p ɾ ə t ə n s i ˌ o z ə m 'e n t
pretensiosos	p ɾ ə t ə n s i 'o z o s
pretensió	p ɾ ə t ə n s i 'o
pretensiós	p ɾ ə t ə n s i 'o s
preteníeu	p ɾ ə t ə n 'i ə w
pretesa	p ɾ ə t 'ə z ə
pretesament	p ɾ ˌ ɛ t ˌ e z ə m 'e n t
preteses	p ɾ ə t 'ə z ə s
pretesos	p ɾ ə t 'ə z o s
pretext	p ɾ ə t 'e s t
pretextos	p ɾ ə t 'e s t o s
pretoriana	p ɾ ə t o ɾ i 'a n ə
pretèrit	p ɾ ə t 'ə ɾ i t
pretèrita	p ɾ ə t 'ə ɾ i t ə
pretèrits	p ɾ ə t 'ə ɾ i t s
pretès	p ɾ ə t 'ə s
pretén	p ɾ ə t 'e n
preu	p ɾ 'ɛ w
preuada	p ɾ ə w 'a ð ə
preuat	p ɾ ə w 'a t
preuats	p ɾ ə w 'a t s
preuniversitari	p ɾ ˌ ɛ u n i v ə ɾ s i t 'a ɾ i
preus	p ɾ 'ɛ w s
preval	p ɾ ə v 'a l
prevaldre	p ɾ ə v 'a l d ɾ ə
prevaldrà	p ɾ ə v ə l d ɾ 'a
prevalen	p ɾ ə v 'a l ə n
prevalença	p ɾ ə v ə l 'ɛ n s ə
prevaler	p ɾ ə v ə l 'e
prevalgui	p ɾ ə v 'a l ɣ i
prevalguin	p ɾ ə v 'a l ɣ i n
prevalgut	p ɾ ə v ə l ɣ 'u t
prevaricació	p ɾ ə v ə ɾ i k ə s i 'o
prevaricadors	p ɾ ə v ə ɾ i k ə ð 'o s
prevaricar	p ɾ ə v ə ɾ i k 'a
prevegi	p ɾ ə v 'ɛ ʒ i
prevegin	p ɾ ə v 'ɛ ʒ i n
preveia	p ɾ ə v 'ə j ə
preveiem	p ɾ ə v ə j 'ə m
preveien	p ɾ ə v 'e j ə n
preveient	p ɾ ə v ə j 'e n t
preveig	p ɾ ə v 'ɛ tʃ
prevencions	p ɾ ə v ə n s i 'o n s
prevenció	p ɾ ə v ə n s i 'o
prevenir	p ɾ ə v ə n 'i
prevenirne	p ɾ ˌ ɛ v ə n 'i ɾ n ə
preventiu	p ɾ ə v ə n t 'i w
preventius	p ɾ ə v ə n t 'i w s
preventiva	p ɾ ə v ə n t 'i v ə
preventivament	p ɾ ə v ə n t ˌ i v ə m 'e n t
preventives	p ɾ ə v ə n t 'i v ə s
preveres	p ɾ ə v 'e ɾ ə s
preveu	p ɾ ə v 'ɛ w
preveuen	p ɾ ə v 'ə w ə n
preveure	p ɾ ə v 'ə w ɾ ə
preveurà	p ɾ ə v ə w ɾ 'a
previ	p ɾ 'ɛ v i
previnguda	p ɾ ə v i ŋ g 'u ð ə
previngut	p ɾ ə v i ŋ g 'u t
previnguts	p ɾ ə v i ŋ g 'u t s
previs	p ɾ 'ɛ v i s
previsibilitat	p ɾ ˌ ɛ v i z i β i l i t 'a t
previsible	p ɾ ə v i z 'i b b l ə
previsiblement	p ɾ ˌ ɛ v i z ˌ i b b l ə m 'e n t
previsibles	p ɾ ə v i z 'i b b l ə s
previsions	p ɾ ə v i z i 'o n s
previsió	p ɾ ə v i z i 'o
previsor	p ɾ ə v i z 'o
previsors	p ɾ ə v i z 'o s
previst	p ɾ ə v 'i s t
prevista	p ɾ ə v 'i s t ə
previstes	p ɾ ə v 'i s t ə s
previstos	p ɾ ə v 'i s t o s
previsualitza	p ɾ ˌ ɛ v i z u ə l 'i d z ə
previsualització	p ɾ ˌ ɛ v i z u ə l i d z ə s i 'o
previsualitzant	p ɾ ˌ ɛ v i z u ə l i d z 'a n t
previsualitzar	p ɾ ˌ ɛ v i z u ə l i d z 'a
previsualitzaries	p ɾ ˌ ɛ v i z u ə l i d z ə ɾ 'i ə s
prevèiem	p ɾ ə v 'ə j ə m
preàmbul	p ɾ ˌ ɛ 'a m b u l
preàmbuls	p ɾ ˌ ɛ 'a m b u l s
prim	p ɾ 'i m
prima	p ɾ 'i m ə
primacia	p ɾ i m ə s 'i ə
primar	p ɾ i m 'a
primari	p ɾ i m 'a ɾ i
primaris	p ɾ i m 'a ɾ i s
primat	p ɾ i m 'a t
primats	p ɾ i m 'a t s
primavera	p ɾ i m ə v 'e ɾ ə
primaveral	p ɾ i m ə v ə ɾ 'a l
primaverals	p ɾ i m ə v ə ɾ 'a l s
primaveres	p ɾ i m ə v 'e ɾ ə s
primer	p ɾ i m 'e
primera	p ɾ i m 'e ɾ ə
primerament	p ɾ i m ˌ e ɾ ə m 'e n t
primerenc	p ɾ i m ə ɾ 'ə ŋ k
primerenca	p ɾ i m ə ɾ 'ə ŋ k ə
primerencs	p ɾ i m ə ɾ 'ə ŋ t s
primerenques	p ɾ i m ə ɾ 'ə ŋ k ə s
primeres	p ɾ i m 'e ɾ ə s
primeries	p ɾ i m ə ɾ 'i ə s
primers	p ɾ i m 'e s
primeríssim	p ɾ i m ə ɾ 'i s i m
primeríssima	p ɾ i m ə ɾ 'i s i m ə
primeríssims	p ɾ i m ə ɾ 'i s i n s
primes	p ɾ 'i m ə s
primigeni	p ɾ i m i ʒ 'ɛ n i
primigènia	p ɾ i m i ʒ 'ə n i ə
primigènies	p ɾ i m i ʒ 'ə n i ə s
primitiu	p ɾ i m i t 'i w
primitius	p ɾ i m i t 'i w s
primitiva	p ɾ i m i t 'i v ə
primitives	p ɾ i m i t 'i v ə s
primitivisme	p ɾ i m i t i v 'i z m ə
primitivista	p ɾ i m i t i v 'i s t ə
primmirada	p ɾ i m m i ɾ 'a ð ə
primmirades	p ɾ i m m i ɾ 'a ð ə s
primmirats	p ɾ i m m i ɾ 'a t s
primogènit	p ɾ i m o ʒ 'ə n i t
primogènits	p ɾ i m o ʒ 'ə n i t s
primordial	p ɾ i m o ɾ ð i 'a l
primordialment	p ɾ i m o ɾ ð i ˌ a l m 'e n t
primordials	p ɾ i m o ɾ ð i 'a l s
prims	p ɾ 'i n s
primària	p ɾ i m 'a ɾ i ə
primàries	p ɾ i m 'a ɾ i ə s
primícia	p ɾ i m 'i s i ə
primícies	p ɾ i m 'i s i ə s
primíssima	p ɾ i m 'i s i m ə
princesa	p ɾ i n s 'ə z ə
princeses	p ɾ i n s 'ə z ə s
principal	p ɾ i n s i p 'a l
principalment	p ɾ i n s i p ˌ a l m 'e n t
principals	p ɾ i n s i p 'a l s
principat	p ɾ i n s i p 'a t
principi	p ɾ i n s 'i p i
principia	p ɾ i n s i p 'i ə
principiant	p ɾ i n s i p i 'a n t
principiants	p ɾ i n s i p i 'a n s
principis	p ɾ i n s 'i p i s
pringats	p ɾ i ŋ g 'a t s
pringo	p ɾ 'i ŋ g o
prior	p ɾ i 'o
priorat	p ɾ i o ɾ 'a t
priori	p ɾ i 'ɔ ɾ i
prioritari	p ɾ i o ɾ i t 'a ɾ i
prioritario	p ɾ i o ɾ i t ə ɾ 'i o
prioritaris	p ɾ i o ɾ i t 'a ɾ i s
prioritat	p ɾ i o ɾ i t 'a t
prioritats	p ɾ i o ɾ i t 'a t s
prioritza	p ɾ i o ɾ 'i d z ə
priorització	p ɾ i o ɾ i d z ə s i 'o
prioritzant	p ɾ i o ɾ i d z 'a n t
prioritzar	p ɾ i o ɾ i d z 'a
prioritzarà	p ɾ i o ɾ i d z ə ɾ 'a
prioritzat	p ɾ i o ɾ i d z 'a t
prioritzen	p ɾ i o ɾ 'i d z ə n
prioritzi	p ɾ i o ɾ 'i d z i
prioritzin	p ɾ i o ɾ 'i d z i n
prioritària	p ɾ i o ɾ i t 'a ɾ i ə
prioritàriament	p ɾ i o ɾ i t ˌ a ɾ i ə m 'e n t
prioritàries	p ɾ i o ɾ i t 'a ɾ i ə s
prisa	p ɾ 'i z ə
prisma	p ɾ 'i z m ə
prismàtics	p ɾ i z m 'a t i t s
priva	p ɾ 'i v ə
privacions	p ɾ i v ə s i 'o n s
privacitat	p ɾ i v ə s i t 'a t
privació	p ɾ i v ə s i 'o
privada	p ɾ i v 'a ð ə
privadament	p ɾ i v ˌ a ð ə m 'e n t
privades	p ɾ i v 'a ð ə s
privadesa	p ɾ i v ə ð 'ə z ə
privar	p ɾ i v 'a
privaria	p ɾ i v ə ɾ 'i ə
privarà	p ɾ i v ə ɾ 'a
privat	p ɾ i v 'a t
privatitzacions	p ɾ i v ə t i d z ə s i 'o n s
privatització	p ɾ i v ə t i d z ə s i 'o
privatitzada	p ɾ i v ə t i d z 'a ð ə
privatitzades	p ɾ i v ə t i d z 'a ð ə s
privatitzador	p ɾ i v ə t i d z ə ð 'o
privatitzadora	p ɾ i v ə t i d z ə ð 'o ɾ ə
privatitzadors	p ɾ i v ə t i d z ə ð 'o s
privatitzar	p ɾ i v ə t i d z 'a
privatitzarlo	p ɾ i v ə t i d z 'a ɾ l o
privatitzarà	p ɾ i v ə t i d z ə ɾ 'a
