a	ə
reindustrialització	r ə i n d u s t ɾ i ə l i d z ə s i 'o
reines	r 'e j n ə s
reinetes	r ə j n 'ɛ t ə s
reingressar	r ə i ŋ g ɾ ə s 'a
reingressat	r ə i ŋ g ɾ ə s 'a t
reingrés	r ə i ŋ g ɾ 'e s
reinici	r ə i n 'i s i
reinicia	r ə i n i s 'i ə
reiniciar	r ə i n i s i 'a
reiniciaria	r ə i n i s i ə ɾ 'i ə
reiniciarà	r ə i n i s i ə ɾ 'a
reiniciat	r ə i n i s i 'a t
reinserció	r ə i n s ə r s i 'o
reinserirse	r ə i n s ə ɾ 'i r s ə
reinstalar	r ə i n s t ə l 'a
reinstalarà	r ə i n s t ə l ə ɾ 'a
reinstauració	r ə i n s t ə w ɾ ə s i 'o
reinstaurar	r ə i n s t ə w ɾ 'a
reinstaurat	r ə i n s t ə w ɾ 'a t
reintegració	r ə i n t ə ɣ ɾ ə s i 'o
reintegrament	r ə i n t ə ɣ ɾ ə m 'e n
reintegraments	r ə i n t ə ɣ ɾ ə m 'e n s
reintegrar	r ə i n t ə ɣ ɾ 'a
reintent	r ə i n t 'e n
reintenta	r ə i n t 'e n t ə
reintentar	r ə i n t ə n t 'a
reintentaries	r ə i n t ə n t ə ɾ 'i ə s
reinterpreta	r ə i n t ə r p ɾ 'e t ə
reinterpretació	r ə i n t ə r p ɾ ə t ə s i 'o
reinterpretada	r ə i n t ə r p ɾ ə t 'a ð ə
reinterpretar	r ə i n t ə r p ɾ ə t 'a
reinterpretaran	r ə i n t ə r p ɾ ə t ə ɾ 'a n
reinterpretats	r ə i n t ə r p ɾ ə t 'a t s
reintroducció	r ə i n t ɾ u ð u k s i 'o
reintroduir	r ə i n t ɾ u ð u 'i
reinvenció	r ə i m b ə n s i 'o
reinventa	r ə i m b 'e n t ə
reinventant	r ə i m b ə n t 'a n
reinventar	r ə i m b ə n t 'a
reinventarlo	r ə i m b ə n t 'a r l u
reinventarse	r ə i m b ə n t 'a r s ə
reinventat	r ə i m b ə n t 'a t
reinversió	r ə i m b ə r s i 'o
reinverteixen	r ə i m b ə r t 'ɛ ʃ ə n
reinverteixi	r ə i m b ə r t 'ɛ ʃ i
reinverteixin	r ə i m b ə r t 'ɛ ʃ i n
reinvertides	r ə i m b ə r t 'i ð ə s
reinvertir	r ə i m b ə r t 'i
reinvertiran	r ə i m b ə r t i ɾ 'a n
reinvertirlos	r ə i m b ə r t 'i r l u s
reinvertit	r ə i m b ə r t 'i t
reis	r 'e j s
reitera	r ə i t 'e ɾ ə
reiteracions	r ə i t ə ɾ ə s i 'o n s
reiteració	r ə i t ə ɾ ə s i 'o
reiterada	r ə i t ə ɾ 'a ð ə
reiterades	r ə i t ə ɾ 'a ð ə s
reiterant	r ə i t ə ɾ 'a n
reiterar	r ə i t ə ɾ 'a
reiterarà	r ə i t ə ɾ ə ɾ 'a
reiterat	r ə i t ə ɾ 'a t
reiteratiu	r ə i t ə ɾ ə t 'i w
reiteratius	r ə i t ə ɾ ə t 'i w s
reiterativa	r ə i t ə ɾ ə t 'i β ə
reiterats	r ə i t ə ɾ 'a t s
reiterava	r ə i t ə ɾ 'a β ə
reiteraven	r ə i t ə ɾ 'a β ə n
reiterem	r ə i t ə ɾ 'ɛ m
reiteren	r ə i t 'e ɾ ə n
reitero	r ə i t 'e ɾ u
reiterés	r ə i t ə ɾ 'e s
reivindica	r ə i β i n d 'i k ə
reivindicable	r ə i β i n d i k 'a b b l ə
reivindicables	r ə i β i n d i k 'a b b l ə s
reivindicacions	r ə i β i n d i k ə s i 'o n s
reivindicació	r ə i β i n d i k ə s i 'o
reivindicada	r ə i β i n d i k 'a ð ə
reivindicades	r ə i β i n d i k 'a ð ə s
reivindicant	r ə i β i n d i k 'a n
reivindicar	r ə i β i n d i k 'a
reivindicareu	r ə i β i n d i k ə ɾ 'ɛ w
reivindicarho	r ə i β i n d i k 'a ɾ u
reivindicarla	r ə i β i n d i k 'a r l ə
reivindicarlo	r ə i β i n d i k 'a r l u
reivindicarlos	r ə i β i n d i k 'a r l u s
reivindicarse	r ə i β i n d i k 'a r s ə
reivindicarà	r ə i β i n d i k ə ɾ 'a
reivindicat	r ə i β i n d i k 'a t
reivindicatiu	r ə i β i n d i k ə t 'i w
reivindicatius	r ə i β i n d i k ə t 'i w s
reivindicativa	r ə i β i n d i k ə t 'i β ə
reivindicatives	r ə i β i n d i k ə t 'i β ə s
reivindicats	r ə i β i n d i k 'a t s
reivindicava	r ə i β i n d i k 'a β ə
reivindicaven	r ə i β i n d i k 'a β ə n
reivindico	r ə i β i n d 'i k u
reivindiquem	r ə i β i n d i k 'ɛ m
reivindiquen	r ə i β i n d 'i k ə n
reivindiqueu	r ə i β i n d i k 'ɛ w
reivindiqui	r ə i β i n d 'i k i
reixa	r 'e ʃ ə
reixac	r ə ʃ 'a k
reixes	r 'e ʃ ə s
reixeta	r ə ʃ 'ɛ t ə
rejoveneix	r ə ʒ u β ə n 'ɛ ʃ
rejoveniment	r ə ʒ u β ə n i m 'e n
rejovenir	r ə ʒ u β ə n 'i
rejovenit	r ə ʒ u β ə n 'i t
rejovenits	r ə ʒ u β ə n 'i t s
rel	r 'ɛ l
relaciona	r ə l ə s i 'o n ə
relacionada	r ə l ə s i u n 'a ð ə
relacionades	r ə l ə s i u n 'a ð ə s
relacional	r ə l ə s i u n 'a l
relacionant	r ə l ə s i u n 'a n
relacionar	r ə l ə s i u n 'a
relacionaran	r ə l ə s i u n ə ɾ 'a n
relacionareu	r ə l ə s i u n ə ɾ 'ɛ w
relacionarho	r ə l ə s i u n 'a ɾ u
relacionarla	r ə l ə s i u n 'a r l ə
relacionarles	r ə l ə s i u n 'a r l ə s
relacionarlo	r ə l ə s i u n 'a r l u
relacionarnos	r ə l ə s i u n 'a r n u s
relacionarse	r ə l ə s i u n 'a r s ə
relacionarvos	r ə l ə s i u n 'a ɾ β u s
relacionarà	r ə l ə s i u n ə ɾ 'a
relacionat	r ə l ə s i u n 'a t
relacionats	r ə l ə s i u n 'a t s
relacionava	r ə l ə s i u n 'a β ə
relacionaven	r ə l ə s i u n 'a β ə n
relacionem	r ə l ə s i u n 'ɛ m
relacionen	r ə l ə s i 'o n ə n
relacioneu	r ə l ə s i u n 'ɛ w
relacioni	r ə l ə s i 'ɔ n i
relacionin	r ə l ə s i 'ɔ n i n
relaciono	r ə l ə s i 'o n u
relacions	r ə l ə s i 'o n s
relació	r ə l ə s i 'o
relat	r ə l 'a t
relata	r ə l 'a t ə
relatada	r ə l ə t 'a ð ə
relatant	r ə l ə t 'a n
relatar	r ə l ə t 'a
relatarà	r ə l ə t ə ɾ 'a
relatat	r ə l ə t 'a t
relatats	r ə l ə t 'a t s
relatava	r ə l ə t 'a β ə
relaten	r ə l 'a t ə n
relatiu	r ə l ə t 'i w
relatius	r ə l ə t 'i w s
relativa	r ə l ə t 'i β ə
relatives	r ə l ə t 'i β ə s
relativisme	r ə l ə t i β 'i z m ə
relativitat	r ə l ə t i β i t 'a t
relativitza	r ə l ə t i β 'i d z ə
relativització	r ə l ə t i β i d z ə s i 'o
relativitzadora	r ə l ə t i β i d z ə ð 'o ɾ ə
relativitzar	r ə l ə t i β i d z 'a
relativitzarho	r ə l ə t i β i d z 'a ɾ u
relato	r ə l 'a t u
relator	r ə l ə t 'o
relats	r ə l 'a t s
relax	r ə l 'a k s
relaxa	r ə l 'a k s ə
relaxació	r ə l ə k s ə s i 'o
relaxada	r ə l ə k s 'a ð ə
relaxades	r ə l ə k s 'a ð ə s
relaxament	r ə l ə k s ə m 'e n
relaxant	r ə l ə k s 'a n
relaxants	r ə l ə k s 'a n s
relaxar	r ə l ə k s 'a
relaxareu	r ə l ə k s ə ɾ 'ɛ w
relaxarme	r ə l ə k s 'a r m ə
relaxarnos	r ə l ə k s 'a r n u s
relaxarse	r ə l ə k s 'a r s ə
relaxarte	r ə l ə k s 'a r t ə
relaxarvos	r ə l ə k s 'a ɾ β u s
relaxat	r ə l ə k s 'a t
relaxats	r ə l ə k s 'a t s
relaxem	r ə l ə k s 'ɛ m
relaxen	r ə l 'a k s ə n
relaxeu	r ə l ə k s 'ɛ w
relaxeuvos	r ə l ə k s 'ɛ w β u s
relaxin	r ə l 'a k s i n
relectura	r ə l ə k t 'u ɾ ə
relectures	r ə l ə k t 'u ɾ ə s
relega	r ə l 'e ɣ ə
relegada	r ə l ə ɣ 'a ð ə
relegant	r ə l ə ɣ 'a n
relegar	r ə l ə ɣ 'a
relegat	r ə l ə ɣ 'a t
relegats	r ə l ə ɣ 'a t s
relegava	r ə l ə ɣ 'a β ə
religions	r ə l i ʒ i 'o n s
religiosa	r ə l i ʒ i 'o z ə
religioses	r ə l i ʒ i 'o z ə s
religiositat	r ə l i ʒ i u z i t 'a t
religiositats	r ə l i ʒ i u z i t 'a t s
religiosos	r ə l i ʒ i 'o z u s
religió	r ə l i ʒ i 'o
religiós	r ə l i ʒ i 'o s
reliquiari	r ə l i k i 'a ɾ i
rellançar	r ə ʎ ə n s 'a
rellegeix	r ə ʎ ə ʒ 'ɛ ʃ
rellegeixes	r ə ʎ ə ʒ 'ɛ ʃ ə s
rellegeixo	r ə ʎ ə ʒ 'ɛ ʃ u
rellegint	r ə ʎ ə ʒ 'i n
rellegir	r ə ʎ ə ʒ 'i
rellegirla	r ə ʎ ə ʒ 'i r l ə
rellegirlo	r ə ʎ ə ʒ 'i r l u
rellegirlos	r ə ʎ ə ʒ 'i r l u s
rellegit	r ə ʎ ə ʒ 'i t
rellegiu	r ə ʎ ə ʒ 'i w
relleu	r ə ʎ 'e w
relleus	r ə ʎ 'e w s
relleva	r ə ʎ 'e β ə
rellevada	r ə ʎ ə β 'a ð ə
rellevant	r ə ʎ ə β 'a n
rellevants	r ə ʎ ə β 'a n s
rellevar	r ə ʎ ə β 'a
rellevarlo	r ə ʎ ə β 'a r l u
rellevarà	r ə ʎ ə β ə ɾ 'a
rellevat	r ə ʎ ə β 'a t
rellevi	r ə ʎ 'e β i
rellevància	r ə ʎ ə β 'a n s i ə
relliga	r ə ʎ 'i ɣ ə
relligar	r ə ʎ i ɣ 'a
relligat	r ə ʎ i ɣ 'a t
rellisca	r ə ʎ 'i s k ə
relliscada	r ə ʎ i s k 'a ð ə
relliscades	r ə ʎ i s k 'a ð ə s
relliscadís	r ə ʎ i s k ə ð 'i s
relliscar	r ə ʎ i s k 'a
relliscat	r ə ʎ i s k 'a t
relliscosa	r ə ʎ i s k 'o z ə
relliscosos	r ə ʎ i s k 'o z u s
relliscós	r ə ʎ i s k 'o s
rellisquen	r ə ʎ 'i s k ə n
rellogada	r ə ʎ u ɣ 'a ð ə
rellotge	r ə ʎ 'ɔ d ʒ ə
rellotge.	r ə ʎ 'ɔ d ʒ ə
rellotgecalculadora	r ə ʎ u d ʒ ə k ə l k u l ə ð 'o ɾ ə
rellotgeria	r ə ʎ u d ʒ ə ɾ 'i ə
rellotges	r ə ʎ 'ɔ d ʒ ə s
relluir	r ə ʎ u 'i
relíquia	r ə l 'i k i ə
relíquies	r ə l 'i k i ə s
rem	r 'ɛ m
rema	r 'ɛ m ə
remanada	r ə m ə n 'a ð ə
remar	r ə m 'a
remarca	r ə m 'a r k ə
remarcable	r ə m ə r k 'a b b l ə
remarcables	r ə m ə r k 'a b b l ə s
remarcada	r ə m ə r k 'a ð ə
remarcant	r ə m ə r k 'a n
remarcar	r ə m ə r k 'a
remarcarho	r ə m ə r k 'a ɾ u
remarcaries	r ə m ə r k ə ɾ 'i ə s
remarcat	r ə m ə r k 'a t
remarcatge	r ə m ə r k 'a d ʒ ə
remarcats	r ə m ə r k 'a t s
remarcava	r ə m ə r k 'a β ə
remarcaven	r ə m ə r k 'a β ə n
remarco	r ə m 'a r k u
remaries	r ə m ə ɾ 'i ə s
remarquem	r ə m ə r k 'ɛ m
remarquen	r ə m 'a r k ə n
remat	r ə m 'a t
remata	r ə m 'a t ə
rematada	r ə m ə t 'a ð ə
rematades	r ə m ə t 'a ð ə s
rematador	r ə m ə t ə ð 'o
rematadora	r ə m ə t ə ð 'o ɾ ə
rematant	r ə m ə t 'a n
rematar	r ə m ə t 'a
rematarho	r ə m ə t 'a ɾ u
rematat	r ə m ə t 'a t
rematava	r ə m ə t 'a β ə
rematen	r ə m 'a t ə n
remats	r ə m 'a t s
rematés	r ə m ə t 'e s
remei	r ə m 'ɛ j
remeiar	r ə m ə j 'a
remeis	r ə m 'ɛ j s
rememora	r ə m ə m 'o ɾ ə
rememoració	r ə m ə m u ɾ ə s i 'o
rememorant	r ə m ə m u ɾ 'a n
rememorar	r ə m ə m u ɾ 'a
rememorat	r ə m ə m u ɾ 'a t
rememoren	r ə m ə m 'o ɾ ə n
remena	r ə m 'ɛ n ə
remenant	r ə m ə n 'a n
remenar	r ə m ə n 'a
remenarles	r ə m ə n 'a r l ə s
remenat	r ə m ə n 'a t
remenaven	r ə m ə n 'a β ə n
remenen	r ə m 'ɛ n ə n
remenes	r ə m 'ɛ n ə s
remeno	r ə m 'ɛ n u
remes	r 'ɛ m ə s
remesa	r ə m 'ɛ z ə
remescles	r ə m 'e s k l ə s
remeses	r ə m 'ɛ z ə s
remet	r ə m 'ɛ t
remetem	r ə m ə t 'ɛ m
remeten	r ə m 'ɛ t ə n
remetent	r ə m ə t 'e n
remeti	r ə m 'ɛ t i
remetia	r ə m ə t 'i ə
remeto	r ə m 'ɛ t u
remetran	r ə m ə t ɾ 'a n
remetre	r ə m 'ɛ t ɾ ə
remetrela	r ə m ə t ɾ 'ɛ l ə
remetrem	r ə m ə t ɾ 'ɛ m
remetrens	r ə m ə t ɾ 'ɛ n s
remetres	r ə m 'e t ɾ ə s
remetrà	r ə m ə t ɾ 'a
remetés	r ə m ə t 'e s
remi	r 'ɛ m i
reminiscència	r ə m i n i s 'ɛ n s i ə
reminiscències	r ə m i n i s 'ɛ n s i ə s
remissió	r ə m i s i 'o
remitent	r ə m i t 'e n
remo	r 'ɛ m u
remodela	r ə m u ð 'ɛ l ə
remodelacions	r ə m u ð ə l ə s i 'o n s
remodelació	r ə m u ð ə l ə s i 'o
remodelada	r ə m u ð ə l 'a ð ə
remodelant	r ə m u ð ə l 'a n
remodelar	r ə m u ð ə l 'a
remodelarà	r ə m u ð ə l ə ɾ 'a
remodelat	r ə m u ð ə l 'a t
remodelatge	r ə m u ð ə l 'a d ʒ ə
remodelats	r ə m u ð ə l 'a t s
remoguda	r ə m u ɣ 'u ð ə
remogudes	r ə m u ɣ 'u ð ə s
remogui	r ə m 'ɔ ɣ i
remoguin	r ə m 'ɔ ɣ i n
remogut	r ə m u ɣ 'u t
remoguts	r ə m u ɣ 'u t s
remolc	r ə m 'o l k
remolcar	r ə m u l k 'a
remolcat	r ə m u l k 'a t
remolcs	r ə m 'o l k s
remolí	r ə m u l 'i
remor	r ə m 'o
remordiment	r ə m u ɾ ð i m 'e n
remordiments	r ə m u ɾ ð i m 'e n s
remot	r ə m 'ɔ t
remota	r ə m 'ɔ t ə
remotes	r ə m 'ɔ t ə s
remots	r ə m 'ɔ t s
remou	r ə m 'ɔ w
remouen	r ə m 'ɔ w ə n
remoure	r ə m 'ɔ w ɾ ə
remouria	r ə m o w ɾ 'i ə
removentse	r ə m u β 'e n s ə
rems	r 'ɛ m s
remugant	r ə m u ɣ 'a n
remugar	r ə m u ɣ 'a
remull	r ə m 'u ʎ
remullada	r ə m u ʎ 'a ð ə
remullar	r ə m u ʎ 'a
remullats	r ə m u ʎ 'a t s
remuneracions	r ə m u n ə ɾ ə s i 'o n s
remuneració	r ə m u n ə ɾ ə s i 'o
remunerada	r ə m u n ə ɾ 'a ð ə
remunerades	r ə m u n ə ɾ 'a ð ə s
remunerar	r ə m u n ə ɾ 'a
remunerat	r ə m u n ə ɾ 'a t
remunerats	r ə m u n ə ɾ 'a t s
remunta	r ə m 'u n t ə
remuntada	r ə m u n t 'a ð ə
remuntades	r ə m u n t 'a ð ə s
remuntant	r ə m u n t 'a n
remuntantli	r ə m u n t 'a n l l i
remuntar	r ə m u n t 'a
remuntareu	r ə m u n t ə ɾ 'ɛ w
remuntaria	r ə m u n t ə ɾ 'i ə
remuntarse	r ə m u n t 'a r s ə
remuntarvos	r ə m u n t 'a ɾ β u s
remuntat	r ə m u n t 'a t
remuntava	r ə m u n t 'a β ə
remuntaven	r ə m u n t 'a β ə n
remuntem	r ə m u n t 'ɛ m
remunten	r ə m 'u n t ə n
remunteu	r ə m u n t 'ɛ w
remunteuvos	r ə m u n t 'ɛ w β u s
remunti	r ə m 'u n t i
remès	r ə m 'ɛ s
ren	r 'ɛ n
renacionalització	r ə n ə s i u n ə l i d z ə s i 'o
renacionalitzar	r ə n ə s i u n ə l i d z 'a
renaixement	r ə n ə ʃ ə m 'e n
renaixentista	r ə n ə ʃ ə n t 'i s t ə
renaixentistes	r ə n ə ʃ ə n t 'i s t ə s
renaixença	r ə n ə ʃ 'ɛ n s ə
renaixereu	r ə n ə ʃ ə ɾ 'ɛ w
renal	r ə n 'a l
renals	r ə n 'a l s
renascut	r ə n ə s k 'u t
renault	r ə n 'a w l
rencontre	r ə ŋ k 'o n t ɾ ə
renda	r 'e n d ə
rendeix	r ə n d 'ɛ ʃ
rendeixen	r ə n d 'ɛ ʃ ə n
rendeixi	r ə n d 'ɛ ʃ i
rendeixin	r ə n d 'ɛ ʃ i n
rendes	r 'e n d ə s
rendia	r ə n d 'i ə
rendibilitat	r ə n d i β i l i t 'a t
rendibilitats	r ə n d i β i l i t 'a t s
rendibilitza	r ə n d i β i l 'i d z ə
rendibilització	r ə n d i β i l i d z ə s i 'o
rendibilitzar	r ə n d i β i l i d z 'a
rendible	r ə n d 'i b b l ə
rendibles	r ə n d 'i b b l ə s
rendició	r ə n d i s i 'o
rendiment	r ə n d i m 'e n
rendiments	r ə n d i m 'e n s
rendint	r ə n d 'i n
rendir	r ə n d 'i
rendirem	r ə n d i ɾ 'ɛ m
rendirse	r ə n d 'i r s ə
rendirà	r ə n d i ɾ 'a
rendit	r ə n d 'i t
rendits	r ə n d 'i t s
renec	r ə n 'e k
renecs	r ə n 'e k s
renega	r ə n 'e ɣ ə
renegant	r ə n ə ɣ 'a n
renegar	r ə n ə ɣ 'a
renegat	r ə n ə ɣ 'a t
renegats	r ə n ə ɣ 'a t s
renegociació	r ə n ə ɣ u s i ə s i 'o
renegociant	r ə n ə ɣ u s i 'a n
renegociar	r ə n ə ɣ u s i 'a
renegociat	r ə n ə ɣ u s i 'a t
renegrida	r ə n ə ɣ ɾ 'i ð ə
reneix	r ə n 'e ʃ
renfe	r 'e m f ə
rengla	r 'ɛ ŋ g l ə
rengle	r 'ɛ ŋ g l ə
rengleres	r ə ŋ g l 'e ɾ ə s
rengles	r 'ɛ ŋ g l ə s
rengló	r ə ŋ g l 'o
renom	r ə n 'ɔ m
renou	r ə n 'ɔ w
renova	r ə n 'ɔ β ə
renovable	r ə n u β 'a b b l ə
renovables	r ə n u β 'a b b l ə s
renovacions	r ə n u β ə s i 'o n s
renovació	r ə n u β ə s i 'o
renovada	r ə n u β 'a ð ə
renovades	r ə n u β 'a ð ə s
renovador	r ə n u β ə ð 'o
renovadora	r ə n u β ə ð 'o ɾ ə
renovadores	r ə n u β ə ð 'o ɾ ə s
renovadors	r ə n u β ə ð 'o s
renovant	r ə n u β 'a n
renovar	r ə n u β 'a
renovaran	r ə n u β ə ɾ 'a n
renovareu	r ə n u β ə ɾ 'ɛ w
renovaria	r ə n u β ə ɾ 'i ə
renovarla	r ə n u β 'a r l ə
renovarlo	r ə n u β 'a r l u
renovarlos	r ə n u β 'a r l u s
renovarme	r ə n u β 'a r m ə
renovarse	r ə n u β 'a r s ə
renovarvos	r ə n u β 'a ɾ β u s
renovarà	r ə n u β ə ɾ 'a
renovat	r ə n u β 'a t
renovats	r ə n u β 'a t s
renovava	r ə n u β 'a β ə
renoven	r ə n 'o β ə n
renovi	r ə n 'ɔ β i
renovin	r ə n 'ɔ β i n
renovés	r ə n u β 'e s
rens	r 'ɛ n s
renta	r 'e n t ə
rentable	r ə n t 'a b b l ə
rentables	r ə n t 'a b b l ə s
rentada	r ə n t 'a ð ə
rentador	r ə n t ə ð 'o
rentadora	r ə n t ə ð 'o ɾ ə
rentadores	r ə n t ə ð 'o ɾ ə s
rentant	r ə n t 'a n
rentar	r ə n t 'a
rentat	r ə n t 'a t
rentatge	r ə n t 'a d ʒ ə
rentats	r ə n t 'a t s
renten	r 'e n t ə n
rentessin	r ə n t 'e s i n
renteuvos	r ə n t 'ɛ w β u s
renti	r 'e n t i
rentin	r 'e n t i n
rentà	r ə n t 'a
renuncia	r ə n u n s 'i ə
renunciant	r ə n u n s i 'a n
renunciar	r ə n u n s i 'a
renunciaran	r ə n u n s i ə ɾ 'a n
renunciarem	r ə n u n s i ə ɾ 'ɛ m
renunciarhi	r ə n u n s i 'a ɾ i
renunciaria	r ə n u n s i ə ɾ 'i ə
renunciarà	r ə n u n s i ə ɾ 'a
renunciat	r ə n u n s i 'a t
renunciava	r ə n u n s i 'a β ə
renunciem	r ə n u n s i 'ɛ m
renuncien	r ə n u n s 'i ə n
renunciessin	r ə n u n s i 'e s i n
renuncio	r ə n u n s 'i u
renunciés	r ə n u n s i 'e s
renunciï	r ə n u n s 'i i
renunciïn	r ə n u n s 'i i n
renya	r 'ɛ ɲ ə
renyar	r ə ɲ 'a
renyarlo	r ə ɲ 'a r l u
renyen	r 'ɛ ɲ ə n
renyida	r ə ɲ 'i ð ə
renyides	r ə ɲ 'i ð ə s
renyit	r ə ɲ 'i t
renéixer	r ə n 'e ʃ ə
renúncia	r ə n 'u n s i ə
renúncies	r ə n 'u n s i ə s
reobert	r ə u β 'ɛ r t
reobertura	r ə u β ə r t 'u ɾ ə
reobre	r ə 'o β ɾ ə
reobri	r ə 'ɔ β ɾ i
reobrir	r ə u β ɾ 'i
reobriran	r ə u β ɾ i ɾ 'a n
reobrirà	r ə u β ɾ i ɾ 'a
reocupació	r ə u k u p ə s i 'o
reocupades	r ə u k u p 'a ð ə s
reocupar	r ə u k u p 'a
reocupat	r ə u k u p 'a t
reocupats	r ə u k u p 'a t s
reomplir	r ə u m p l 'i
reordena	r ə u ɾ ð 'e n ə
reordenació	r ə u ɾ ð ə n ə s i 'o
reordenant	r ə u ɾ ð ə n 'a n
reordenar	r ə u ɾ ð ə n 'a
reordenat	r ə u ɾ ð ə n 'a t
reorganitza	r ə u ɾ ɣ ə n 'i d z ə
reorganització	r ə u ɾ ɣ ə n i d z ə s i 'o
reorganitzant	r ə u ɾ ɣ ə n i d z 'a n
reorganitzantvos	r ə u ɾ ɣ ə n i d z 'a n d b u s
reorganitzar	r ə u ɾ ɣ ə n i d z 'a
reorganitzaries	r ə u ɾ ɣ ə n i d z ə ɾ 'i ə s
reorganitzarvos	r ə u ɾ ɣ ə n i d z 'a ɾ β u s
reorganitzat	r ə u ɾ ɣ ə n i d z 'a t
reorganitzeu	r ə u ɾ ɣ ə n i d z 'ɛ w
reorganitzeuvos	r ə u ɾ ɣ ə n i d z 'ɛ w β u s
reorienta	r ə u ɾ i 'e n t ə
reorientació	r ə u ɾ i ə n t ə s i 'o
reorientant	r ə u ɾ i ə n t 'a n
reorientar	r ə u ɾ i ə n t 'a
reorientem	r ə u ɾ i ə n t 'ɛ m
rep	r 'ɛ p
repara	r ə p 'a ɾ ə
reparacions	r ə p ə ɾ ə s i 'o n s
reparació	r ə p ə ɾ ə s i 'o
reparador	r ə p ə ɾ ə ð 'o
reparadora	r ə p ə ɾ ə ð 'o ɾ ə
reparaho	r ə p ə ɾ 'a u
reparar	r ə p ə ɾ 'a
repararia	r ə p ə ɾ ə ɾ 'i ə
repararà	r ə p ə ɾ ə ɾ 'a
reparat	r ə p ə ɾ 'a t
reparo	r ə p 'a ɾ u
reparteix	r ə p ə r t 'ɛ ʃ
reparteixen	r ə p ə r t 'ɛ ʃ ə n
reparteixi	r ə p ə r t 'ɛ ʃ i
reparteixin	r ə p ə r t 'ɛ ʃ i n
repartia	r ə p ə r t 'i ə
repartició	r ə p ə r t i s i 'o
repartida	r ə p ə r t 'i ð ə
repartides	r ə p ə r t 'i ð ə s
repartidor	r ə p ə r t i ð 'o
repartidors	r ə p ə r t i ð 'o s
repartien	r ə p ə r t 'i ə n
repartiment	r ə p ə r t i m 'e n
repartiments	r ə p ə r t i m 'e n s
repartint	r ə p ə r t 'i n
repartintse	r ə p ə r t 'i n s ə
repartir	r ə p ə r t 'i
repartiran	r ə p ə r t i ɾ 'a n
repartirien	r ə p ə r t i ɾ 'i ə n
repartirse	r ə p ə r t 'i r s ə
repartirà	r ə p ə r t i ɾ 'a
repartit	r ə p ə r t 'i t
repartits	r ə p ə r t 'i t s
repartís	r ə p ə r t 'i s
repassa	r ə p 'a s ə
repassada	r ə p ə s 'a ð ə
repassant	r ə p ə s 'a n
repassar	r ə p ə s 'a
repassaran	r ə p ə s ə ɾ 'a n
repassarà	r ə p ə s ə ɾ 'a
repassat	r ə p ə s 'a t
repassava	r ə p ə s 'a β ə
repassem	r ə p ə s 'ɛ m
repassen	r ə p 'a s ə n
repassi	r ə p 'a s i
repasso	r ə p 'a s u
repatriació	r ə p ə t ɾ i ə s i 'o
repatriar	r ə p ə t ɾ i 'a
repatriat	r ə p ə t ɾ i 'a t
repatriats	r ə p ə t ɾ i 'a t s
repelent	r ə p ə l 'e n
repelir	r ə p ə l 'i
repengeu	r ə p ə n ʒ 'ɛ w
repenjantvos	r ə p ə n ʒ 'a n d b u s
repenjarvos	r ə p ə n ʒ 'a ɾ β u s
repensa	r ə p 'ɛ n s ə
repensant	r ə p ə n s 'a n
repensar	r ə p ə n s 'a
repensarlo	r ə p ə n s 'a r l u
repensarnosho	r ə p ə n s ə r n 'o z u
repensat	r ə p ə n s 'a t
repensi	r ə p 'ɛ n s i
repercussions	r ə p ə r k u s i 'o n s
repercussió	r ə p ə r k u s i 'o
repercuteix	r ə p ə r k u t 'ɛ ʃ
repercuteixen	r ə p ə r k u t 'ɛ ʃ ə n
repercuteixi	r ə p ə r k u t 'ɛ ʃ i
repercutint	r ə p ə r k u t 'i n
repercutir	r ə p ə r k u t 'i
repercutiran	r ə p ə r k u t i ɾ 'a n
repercutiria	r ə p ə r k u t i ɾ 'i ə
repercutirà	r ə p ə r k u t i ɾ 'a
repercutit	r ə p ə r k u t 'i t
repertori	r ə p ə r t 'ɔ ɾ i
repertoris	r ə p ə r t 'ɔ ɾ i s
repesca	r ə p 'ɛ s k ə
repescar	r ə p ə s k 'a
repescarà	r ə p ə s k ə ɾ 'a
repescat	r ə p ə s k 'a t
repeteix	r ə p ə t 'ɛ ʃ
repeteixen	r ə p ə t 'ɛ ʃ ə n
repeteixi	r ə p ə t 'ɛ ʃ i
repeteixin	r ə p ə t 'ɛ ʃ i n
repeteixis	r ə p ə t 'ɛ ʃ i s
repeteixo	r ə p ə t 'ɛ ʃ u
repetia	r ə p ə t 'i ə
repeticions	r ə p ə t i s i 'o n s
repetició	r ə p ə t i s i 'o
repetida	r ə p ə t 'i ð ə
repetides	r ə p ə t 'i ð ə s
repetidor	r ə p ə t i ð 'o
repetidors	r ə p ə t i ð 'o s
repetien	r ə p ə t 'i ə n
repetim	r ə p ə t 'i m
repetimho	r ə p ə t 'i m u
repetint	r ə p ə t 'i n
repetintse	r ə p ə t 'i n s ə
repetir	r ə p ə t 'i
repetiran	r ə p ə t i ɾ 'a n
repetirem	r ə p ə t i ɾ 'ɛ m
repetirho	r ə p ə t 'i ɾ u
repetiria	r ə p ə t i ɾ 'i ə
repetirien	r ə p ə t i ɾ 'i ə n
repetiries	r ə p ə t i ɾ 'i ə s
repetirla	r ə p ə t 'i r l ə
repetirlo	r ə p ə t 'i r l u
repetirme	r ə p ə t 'i r m ə
