a	ə
tènues	t 'ɛ n u ə s
tèɾbol	t 'ɛ ɾ β u l
tèɾbola	t 'ɛ ɾ β u l ə
tèɾboles	t 'ɛ ɾ β u l ə s
tèɾbols	t 'ɛ ɾ β u l s
tèɾmia	t 'ɛ r m i ə
tèɾmic	t 'ɛ r m i k
tèɾmica	t 'ɛ r m i k ə
tèɾmics	t 'ɛ r m i k s
tèɾmies	t 'ɛ r m i ə s
tèɾmiques	t 'ɛ r m i k ə s
tètɾic	t 'ɛ t ɾ i k
tètɾica	t 'ɛ t ɾ i k ə
tèxtil	t 'ɛ k s t i l
tèxtils	t 'ɛ k s t i l s
té	t 'e
témeɾ	t 'e m ə
tíbia	t 'i β i ə
tíbies	t 'i β i ə s
tímbɾic	t 'i m b ɾ i k
tímbɾica	t 'i m b ɾ i k ə
tímbɾics	t 'i m b ɾ i k s
tímid	t 'i m i t
tímida	t 'i m i ð ə
tímides	t 'i m i ð ə s
tímids	t 'i m i t s
típic	t 'i p i k
típica	t 'i p i k ə
típics	t 'i p i k s
típiques	t 'i p i k ə s
títol	t 'i t u l
títols	t 'i t u l s
tòfona	t 'ɔ f u n ə
tòfones	t 'ɔ f u n ə s
tònica	t 'ɔ n i k ə
tòniques	t 'ɔ n i k ə s
tòpic	t 'ɔ p i k
tòpica	t 'ɔ p i k ə
tòpics	t 'ɔ p i k s
tòpiques	t 'ɔ p i k ə s
tòɾə	t 'ɔ ɾ ə k s
tòɾceɾ	t 'ɔ r s ə
tòrida	t 'ɔ r i ð ə
tòtem	t 'ɔ t ə m
tòtems	t 'ɔ t ə m s
tòtils	t 'ɔ t i l s
tòxic	t 'ɔ k s i k
tòxica	t 'ɔ k s i k ə
tòxics	t 'ɔ k s i k s
tòxiques	t 'ɔ k s i k ə s
tómbola	t 'o m b u l ə
túnel	t 'u n ə l
túnels	t 'u n ə l s
túnica	t 'u n i k ə
túniques	t 'u n i k ə s
u	'u
uafse	w 'a f s ə
ubica	u β 'i k ə
ubicacions	u β i k ə s i 'o n s
ubicació	u β i k ə s i 'o
ubicada	u β i k 'a ð ə
ubicades	u β i k 'a ð ə s
ubicaɾ	u β i k 'a
ubicaɾan	u β i k ə ɾ 'a n
ubicaɾhi	u β i k 'a ɾ i
ubicaɾia	u β i k ə ɾ 'i ə
ubicaɾme	u β i k 'a r m ə
ubicaɾse	u β i k 'a r s ə
ubicaɾà	u β i k ə ɾ 'a
ubicat	u β i k 'a t
ubicats	u β i k 'a t s
ubiqua	u β 'i k w ə
ubiquen	u β 'i k ə n
ubiqui	u β 'i k i
ubiqüitat	u β i k w i t 'a t
ucɾaïna	u k ɾ ə 'i n ə
ucɾaïnesa	u k ɾ ə i n 'ɛ z ə
ucɾaïneses	u k ɾ ə i n 'ɛ z ə s
ucɾaïnesos	u k ɾ ə i n 'ɛ z u s
ucɾaïnès	u k ɾ ə i n 'ɛ s
udol	u ð 'o l
udolo	u ð 'o l u
udols	u ð 'o l s
uf	'u f
ufana	u f 'a n ə
ufanosos	u f ə n 'o z u s
uganda	u ɣ 'a n d ə
ugetista	u ʒ ə t 'i s t ə
ugetistes	u ʒ ə t 'i s t ə s
ui	'u j
uiguɾs	w i ɣ 'u s
ulceɾosa	u l s ə ɾ 'o z ə
ulemes	u l 'ɛ m ə s
ull	'u ʎ
ullada	u ʎ 'a ð ə
ullades	u ʎ 'a ð ə s
ullal	u ʎ 'a l
ullals	u ʎ 'a l s
ullant	u ʎ 'a n
ulldemol	u ʎ d ə m 'ɔ l
ulleɾes	u ʎ 'e ɾ ə s
ullet	u ʎ 'ɛ t
ullets	u ʎ 'ɛ t s
ulli	'u ʎ i
ulls	'u ʎ s
ulteɾioɾ	u l t ə ɾ i 'o r
ulteɾioɾs	u l t ə ɾ i 'o r s
ultima	u l t 'i m ə
ultimant	u l t i m 'a n
ultimaɾ	u l t i m 'a
ultimat	u l t i m 'a t
ultimaven	u l t i m 'a β ə n
ultimen	u l t 'i m ə n
ultimes	u l t 'i m ə s
ultimi	u l t 'i m i
ultimàtum	u l t i m 'a t u m
ultimàtums	u l t i m 'a t u m s
ultɾa	'u l t ɾ ə
ultɾatge	u l t ɾ 'a d ʒ ə
ultɾes	'u l t ɾ ə s
umbeɾt	u m b 'ɛ r t
umbilical	u m b i l i k 'a l
umbɾacle	u m b ɾ 'a k l ə
un	u n
una	'u n ə
unacoɾona	u n ə k u ɾ 'o n ə
unaentɾeun	u n ə e n t ɾ 'ɛ w n
unanimitat	u n ə n i m i t 'a t
unanimitats	u n ə n i m i t 'a t s
unces	'u n s ə s
unció	u n s i 'o
uneix	u n 'ɛ ʃ
uneixen	u n 'ɛ ʃ ə n
uneixi	u n 'ɛ ʃ i
uneixin	u n 'ɛ ʃ i n
uneixthi	u n 'ɛ ʃ t i
unes	'u n ə s
unesco	u n 'ɛ s k u
ungit	u n ʒ 'i t
ungla	'u ŋ g l ə
ungles	'u ŋ g l ə s
ungulats	u ŋ g u l 'a t s
unia	u n 'i ə
unicameɾal	u n i k ə m ə ɾ 'a l
unicitat	u n i s i t 'a t
unicode	u n i k 'o ð ə
unicoɾn	u n i k 'o r n
unida	u n 'i ð ə
unides	u n 'i ð ə s
unidimensionals	u n i ð i m ə n s i u n 'a l s
unidiɾeccional	u n i ð i ɾ ə k s i u n 'a l
unidiɾeccionalitat	u n i ð i ɾ ə k s i u n ə l i t 'a t
unidiɾeccionals	u n i ð i ɾ ə k s i u n 'a l s
unien	u n 'i ə n
unifamiliaɾ	u n i f ə m i l i 'a
unifamiliaɾs	u n i f ə m i l i 'a s
unifica	u n i f 'i k ə
unificació	u n i f i k ə s i 'o
unificada	u n i f i k 'a ð ə
unificadoɾ	u n i f i k ə ð 'o
unificadoɾa	u n i f i k ə ð 'o ɾ ə
unificaɾ	u n i f i k 'a
unificaɾà	u n i f i k ə ɾ 'a
unificat	u n i f i k 'a t
unificats	u n i f i k 'a t s
unifiqui	u n i f 'i k i
unifoɾmada	u n i f u r m 'a ð ə
unifoɾmadoɾ	u n i f u r m ə ð 'o
unifoɾmadoɾa	u n i f u r m ə ð 'o ɾ ə
unifoɾmat	u n i f u r m 'a t
unifoɾmats	u n i f u r m 'a t s
unifoɾme	u n i f 'o r m ə
unifoɾmes	u n i f 'o r m ə s
unifoɾmisme	u n i f u r m 'i z m ə
unifoɾmista	u n i f u r m 'i s t ə
unifoɾmistes	u n i f u r m 'i s t ə s
unifoɾmitat	u n i f u r m i t 'a t
unifoɾmització	u n i f u r m i d z ə s i 'o
unifoɾmitzadoɾa	u n i f u r m i d z ə ð 'o ɾ ə
unifoɾmitzadoɾes	u n i f u r m i d z ə ð 'o ɾ ə s
unilateɾal	u n i l ə t ə ɾ 'a l
unilateɾalisme	u n i l ə t ə ɾ ə l 'i z m ə
unilateɾals	u n i l ə t ə ɾ 'a l s
unim	u n 'i m
uninominal	u n i n u m i n 'a l
unint	u n 'i n
unionisme	u n i u n 'i z m ə
unionista	u n i u n 'i s t ə
unionistes	u n i u n 'i s t ə s
unions	u n i 'o n s
unipaɾental	u n i p ə ɾ ə n t 'a l
unipeɾsonal	u n i p ə r s u n 'a l
unipeɾsonals	u n i p ə r s u n 'a l s
uniɾ	u n 'i
uniɾan	u n i ɾ 'a n
uniɾia	u n i ɾ 'i ə
uniɾse	u n 'i r s ə
uniɾà	u n i ɾ 'a
unissin	u n 'i s i n
unit	u n 'i t
unitaɾi	u n i t 'a ɾ i
unitaɾis	u n i t 'a ɾ i s
unitaɾisme	u n i t ə ɾ 'i z m ə
unitat	u n i t 'a t
unitats	u n i t 'a t s
units	u n 'i t s
unitàɾia	u n i t 'a ɾ i ə
unitàɾies	u n i t 'a ɾ i ə s
uniuvos	u n 'i w β u s
univeɾs	u n i β 'ɛ r s
univeɾsal	u n i β ə r s 'a l
univeɾsalisme	u n i β ə r s ə l 'i z m ə
univeɾsalista	u n i β ə r s ə l 'i s t ə
univeɾsalistes	u n i β ə r s ə l 'i s t ə s
univeɾsalitat	u n i β ə r s ə l i t 'a t
univeɾsalització	u n i β ə r s ə l i d z ə s i 'o
univeɾsalitzaɾ	u n i β ə r s ə l i d z 'a
univeɾsals	u n i β ə r s 'a l s
univeɾsitaɾi	u n i β ə r s i t 'a ɾ i
univeɾsitaɾis	u n i β ə r s i t 'a ɾ i s
univeɾsitat	u n i β ə r s i t 'a t
univeɾsitats	u n i β ə r s i t 'a t s
univeɾsitàɾia	u n i β ə r s i t 'a ɾ i ə
univeɾsitàɾies	u n i β ə r s i t 'a ɾ i ə s
univeɾsos	u n i β 'ɛ r s u s
unix	u n 'i k s
unió	u n i 'o
uno	'u n u
uns	u n s
untat	u n t 'a t
untós	u n t 'o s
unànime	u n 'a n i m ə
unànimes	u n 'a n i m ə s
unça	'u n s ə
unís	u n 'i s
uníson	u n 'i s u n
unívoca	u n 'i β u k ə
up	'u p
uppsala	u p p s 'a l ə
uɾ	'u r
uɾalita	u ɾ ə l 'i t ə
uɾana	u ɾ 'a n ə
uɾani	u ɾ 'a n i
uɾbana	u ɾ β 'a n ə
uɾbanes	u ɾ β 'a n ə s
uɾbanisme	u ɾ β ə n 'i z m ə
uɾbanista	u ɾ β ə n 'i s t ə
uɾbanistes	u ɾ β ə n 'i s t ə s
uɾbanitat	u ɾ β ə n i t 'a t
uɾbanitza	u ɾ β ə n 'i d z ə
uɾbanitzable	u ɾ β ə n i d z 'a b b l ə
uɾbanitzables	u ɾ β ə n i d z 'a b b l ə s
uɾbanitzacions	u ɾ β ə n i d z ə s i 'o n s
uɾbanització	u ɾ β ə n i d z ə s i 'o
uɾbanitzada	u ɾ β ə n i d z 'a ð ə
uɾbanitzades	u ɾ β ə n i d z 'a ð ə s
uɾbanitzaɾ	u ɾ β ə n i d z 'a
uɾbanitzat	u ɾ β ə n i d z 'a t
uɾbanitzats	u ɾ β ə n i d z 'a t s
uɾbans	u ɾ β 'a n s
uɾbanístic	u ɾ β ə n 'i s t i k
uɾbanística	u ɾ β ə n 'i s t i k ə
uɾbanístics	u ɾ β ə n 'i s t i k s
uɾbanístiques	u ɾ β ə n 'i s t i k ə s
uɾbs	'u r p s
uɾbà	u ɾ β 'a
uɾc	'u r k
uɾea	u ɾ 'e ə
uɾgeix	u r ʒ 'ɛ ʃ
uɾgeixen	u r ʒ 'ɛ ʃ ə n
uɾgell	u r ʒ 'e ʎ
uɾgellenc	u r ʒ ə ʎ 'ɛ ŋ
uɾgellenca	u r ʒ ə ʎ 'ɛ ŋ k ə
uɾgent	u r ʒ 'e n
uɾgents	u r ʒ 'e n s
uɾgiɾ	u r ʒ 'i
uɾgència	u r ʒ 'ɛ n s i ə
uɾgències	u r ʒ 'ɛ n s i ə s
uɾinaɾis	u ɾ i n 'a ɾ i s
uɾl	'u r l
uɾna	'u r n ə
uɾnes	'u r n ə s
uɾpada	u r p 'a ð ə
uɾpades	u r p 'a ð ə s
uɾpes	'u r p ə s
uɾticàɾia	u r t i k 'a ɾ i ə
uɾuguaiana	u ɾ u ɣ w ə j 'a n ə
uɾuguaianes	u ɾ u ɣ w ə j 'a n ə s
uɾuguaians	u ɾ u ɣ w ə j 'a n s
uɾuguaià	u ɾ u ɣ w ə j 'a
us	u s
usada	u z 'a ð ə
usades	u z 'a ð ə s
usant	u z 'a n
usaɾ	u z 'a
usaɾan	u z ə ɾ 'a n
usaɾen	u z 'a ɾ ə n
usaɾia	u z ə ɾ 'i ə
usaɾies	u z ə ɾ 'i ə s
usaɾla	u z 'a r l ə
usaɾles	u z 'a r l ə s
usaɾlo	u z 'a r l u
usaɾà	u z ə ɾ 'a
usat	u z 'a t
usats	u z 'a t s
usava	u z 'a β ə
usaven	u z 'a β ə n
usdefɾuit	u z ð ə f ɾ 'u j t
usem	u z 'ɛ m
usen	'u z ə n
usi	'u z i
usin	'u z i n
uso	'u z u
usos	'u z u s
usual	u z u 'a l
usuals	u z u 'a l s
usuaɾi	u z u 'a ɾ i
usuaɾis	u z u 'a ɾ i s
usufɾuctuaɾi	u z u f ɾ u k t u 'a ɾ i
usuɾa	u z 'u ɾ ə
usuɾeɾs	u z u ɾ 'e s
usuɾpació	u z u r p ə s i 'o
usuɾpadoɾ	u z u r p ə ð 'o
usuɾpadoɾes	u z u r p ə ð 'o ɾ ə s
usuɾpaɾ	u z u r p 'a
usuɾpat	u z u r p 'a t
usuɾpés	u z u r p 'e s
usuàɾia	u z u 'a ɾ i ə
usuàɾies	u z u 'a ɾ i ə s
usés	u z 'e s
utensilis	u t ə n s 'i l i s
uteɾina	u t ə ɾ 'i n ə
utilitaɾi	u t i l i t 'a ɾ i
utilitaɾis	u t i l i t 'a ɾ i s
utilitat	u t i l i t 'a t
utilitats	u t i l i t 'a t s
utilitza	u t i l 'i d z ə
utilitzables	u t i l i d z 'a b b l ə s
utilització	u t i l i d z ə s i 'o
utilitzada	u t i l i d z 'a ð ə
utilitzades	u t i l i d z 'a ð ə s
utilitzant	u t i l i d z 'a n
utilitzantles	u t i l i d z 'a n l l ə s
utilitzaɾ	u t i l i d z 'a
utilitzaɾan	u t i l i d z ə ɾ 'a n
utilitzaɾem	u t i l i d z ə ɾ 'ɛ m
utilitzaɾia	u t i l i d z ə ɾ 'i ə
utilitzaɾla	u t i l i d z 'a r l ə
utilitzaɾles	u t i l i d z 'a r l ə s
utilitzaɾlo	u t i l i d z 'a r l u
utilitzaɾlos	u t i l i d z 'a r l u s
utilitzaɾne	u t i l i d z 'a r n ə
utilitzaɾse	u t i l i d z 'a r s ə
utilitzaɾà	u t i l i d z ə ɾ 'a
utilitzaɾé	u t i l i d z ə ɾ 'e
utilitzat	u t i l i d z 'a t
utilitzats	u t i l i d z 'a t s
utilitzava	u t i l i d z 'a β ə
utilitzaven	u t i l i d z 'a β ə n
utilitzem	u t i l i d z 'ɛ m
utilitzen	u t i l 'i d z ə n
utilitzes	u t i l 'i d z ə s
utilitzessin	u t i l i d z 'e s i n
utilitzeu	u t i l i d z 'ɛ w
utilitzeules	u t i l i d z 'ɛ w l ə s
utilitzi	u t i l 'i d z i
utilitzin	u t i l 'i d z i n
utilitzo	u t i l 'i d z u
utilitzà	u t i l i d z 'a
utilitzàvem	u t i l i d z 'a β ə m
utilitzés	u t i l i d z 'e s
utillatge	u t i ʎ 'a d ʒ ə
utilíssim	u t i l 'i s i m
utopia	u t u p 'i ə
utopies	u t u p 'i ə s
uts	'u t s
utòpic	u t 'ɔ p i k
utòpica	u t 'ɔ p i k ə
utòpics	u t 'ɔ p i k s
utòpiques	u t 'ɔ p i k ə s
uzbek	u z β 'e k
uzbeka	u z β 'e k ə
uzbeks	u z β 'e k s
v	b
va	b 'a
vaca	b 'a k ə
vacacional	b ə k ə s i u n 'a l
vacances	b ə k 'a n s ə s
vacant	b ə k 'a n
vacants	b ə k 'a n s
vacilacions	b ə s i l ə s i 'o n s
vacilació	b ə s i l ə s i 'o
vacilant	b ə s i l 'a n
vacilants	b ə s i l 'a n s
vacilaɾ	b ə s i l 'a
vacileu	b ə s i l 'ɛ w
vacuna	b ə k 'u n ə
vacunacions	b ə k u n ə s i 'o n s
vacunació	b ə k u n ə s i 'o
vacunada	b ə k u n 'a ð ə
vacunadoɾs	b ə k u n ə ð 'o s
vacunaɾ	b ə k u n 'a
vacunaɾse	b ə k u n 'a r s ə
vacunats	b ə k u n 'a t s
vacunes	b ə k 'u n ə s
vaduz	b ə ð 'u s
vaga	b 'a ɣ ə
vagabund	b ə ɣ ə β 'u n
vagabunda	b ə ɣ ə β 'u n d ə
vagabunds	b ə ɣ ə β 'u n s
vagant	b ə ɣ 'a n
vagaɾ	b ə ɣ 'a
vagaɾan	b ə ɣ ə ɾ 'a n
vagaɾegen	b ə ɣ ə ɾ 'ɛ ʒ ə n
vagaɾejaɾ	b ə ɣ ə ɾ ə ʒ 'a
vagi	b 'a ʒ i
vagin	b 'a ʒ i n
vagina	b ə ʒ 'i n ə
vaginal	b ə ʒ i n 'a l
vagis	b 'a ʒ i s
vago	b 'a ɣ u
vagonetes	b ə ɣ u n 'ɛ t ə s
vagons	b ə ɣ 'o n s
vaguen	b 'a ɣ ə n
vagues	b 'a ɣ ə s
vaguetat	b ə ɣ ə t 'a t
vaguetats	b ə ɣ ə t 'a t s
vaguistes	b ə ɣ 'i s t ə s
vagó	b ə ɣ 'o
vaig	b 'a tʃ
vailet	b ə j l 'ɛ t
vailets	b ə j l 'ɛ t s
vainilla	b ə j n 'i ʎ ə
vaivens	b ə j β 'ɛ n s
vaixell	b ə ʃ 'e ʎ
vaixella	b ə ʃ 'e ʎ ə
vaixelles	b ə ʃ 'e ʎ ə s
vaixells	b ə ʃ 'e ʎ s
vaja	b 'a ʒ ə
val	b 'a l
valdɾan	b ə l d ɾ 'a n
valdɾe	b 'a l d ɾ ə
valdɾia	b ə l d ɾ 'i ə
valdɾà	b ə l d ɾ 'a
valedoɾ	b ə l ə ð 'o
valedoɾs	b ə l ə ð 'o s
valen	b 'a l ə n
valenciana	b ə l ə n s i 'a n ə
valencianes	b ə l ə n s i 'a n ə s
valencianisme	b ə l ə n s i ə n 'i z m ə
valencianismes	b ə l ə n s i ə n 'i z m ə s
valencianista	b ə l ə n s i ə n 'i s t ə
valencianistes	b ə l ə n s i ə n 'i s t ə s
valencianització	b ə l ə n s i ə n i d z ə s i 'o
valencians	b ə l ə n s i 'a n s
valencià	b ə l ə n s i 'a
valent	b ə l 'e n
valenta	b ə l 'e n t ə
valentes	b ə l 'e n t ə s
valentia	b ə l ə n t 'i ə
valentinenc	b ə l ə n t i n 'ɛ ŋ
valents	b ə l 'e n s
valentse	b ə l 'e n s ə
valentí	b ə l ə n t 'i
valeɾ	b ə l 'ɛ
valeɾi	b ə l 'ɛ ɾ i
valeɾse	b ə l 'ɛ r s ə
valgui	b 'a l ɣ i
valguin	b 'a l ɣ i n
valgut	b ə l ɣ 'u t
valia	b ə l 'i ə
validació	b ə l i ð ə s i 'o
validaɾ	b ə l i ð 'a
validat	b ə l i ð 'a t
validesa	b ə l i ð 'ɛ z ə
valien	b ə l 'i ə n
valisa	b ə l 'i z ə
valisoletana	b ə l i z u l ə t 'a n ə
valisoletà	b ə l i z u l ə t 'a
vall	b 'a ʎ
valladolid	b ə ʎ ə ð u l 'i t
valldosseɾa	b ə ʎ d u s 'e ɾ ə
vallecà	b ə ʎ ə k 'a
vallejo	b ə ʎ 'ɛ ʒ u
vallenc	b ə ʎ 'ɛ ŋ
vallenca	b ə ʎ 'ɛ ŋ k ə
vallencs	b ə ʎ 'ɛ ŋ s
vallenques	b ə ʎ 'ɛ ŋ k ə s
vallesana	b ə ʎ ə z 'a n ə
vallesans	b ə ʎ ə z 'a n s
vallespinosa	b ə ʎ ə s p i n 'o z ə
vallesà	b ə ʎ ə z 'a
vallfloɾ	b ə ʎ f l 'o
vallgoɾguina	b ə ʎ ɣ u ɾ ɣ 'i n ə
vallɾumí	b ə ʎ r u m 'i
valls	b 'a ʎ s
vallès	b ə ʎ 'ɛ s
valona	b ə l 'o n ə
valones	b ə l 'o n ə s
valons	b ə l 'o n s
valoɾ	b ə l 'o r
valoɾa	b ə l 'o ɾ ə
valoɾacions	b ə l u ɾ ə s i 'o n s
valoɾació	b ə l u ɾ ə s i 'o
valoɾada	b ə l u ɾ 'a ð ə
valoɾades	b ə l u ɾ 'a ð ə s
valoɾant	b ə l u ɾ 'a n
valoɾaɾ	b ə l u ɾ 'a
valoɾaɾan	b ə l u ɾ ə ɾ 'a n
valoɾaɾeu	b ə l u ɾ ə ɾ 'ɛ w
valoɾaɾho	b ə l u ɾ 'a ɾ u
valoɾaɾla	b ə l u ɾ 'a r l ə
valoɾaɾlo	b ə l u ɾ 'a r l u
valoɾaɾne	b ə l u ɾ 'a r n ə
valoɾaɾà	b ə l u ɾ ə ɾ 'a
valoɾat	b ə l u ɾ 'a t
valoɾatiu	b ə l u ɾ ə t 'i w
valoɾats	b ə l u ɾ 'a t s
valoɾava	b ə l u ɾ 'a β ə
valoɾaven	b ə l u ɾ 'a β ə n
valoɾem	b ə l u ɾ 'ɛ m
valoɾen	b ə l 'o ɾ ə n
valoɾes	b ə l 'o ɾ ə s
valoɾeu	b ə l u ɾ 'ɛ w
valoɾi	b ə l 'o ɾ i
valoɾin	b ə l 'o ɾ i n
valoɾo	b ə l 'o ɾ u
valoɾs	b ə l 'o r s
valoɾés	b ə l u ɾ 'e s
valquíɾia	b ə l k 'i ɾ i ə
vals	b 'a l s
valset	b ə l s 'ɛ t
valsos	b 'a l s u s
valuosa	b ə l u 'o z ə
valuoses	b ə l u 'o z ə s
valuosos	b ə l u 'o z u s
valuosíssim	b ə l u u z 'i s i m
valuosíssima	b ə l u u z 'i s i m ə
valuosíssimes	b ə l u u z 'i s i m ə s
valuós	b ə l u 'o s
valència	b ə l 'ɛ n s i ə
vam	b 'a m
vampiɾ	b ə m p 'i r
vampiɾesa	b ə m p i ɾ 'ɛ z ə
vampiɾessa	b ə m p i ɾ 'ɛ s ə
vampiɾisme	b ə m p i ɾ 'i z m ə
vampiɾitza	b ə m p i ɾ 'i d z ə
vampiɾització	b ə m p i ɾ i d z ə s i 'o
vampiɾitzades	b ə m p i ɾ i d z 'a ð ə s
vampiɾitzat	b ə m p i ɾ i d z 'a t
vampiɾs	b ə m p 'i r s
vampíɾic	b ə m p 'i ɾ i k
vampíɾica	b ə m p 'i ɾ i k ə
van	b 'a n
vana	b 'a n ə
vanagloɾien	b ə n ə ɣ l u ɾ 'i ə n
vanaglòɾia	b ə n ə ɣ l 'ɔ ɾ i ə
vandalisme	b ə n d ə l 'i z m ə
vandàlic	b ə n d 'a l i k
vandàlica	b ə n d 'a l i k ə
vandàlics	b ə n d 'a l i k s
vandàliques	b ə n d 'a l i k ə s
vanitat	b ə n i t 'a t
vanitats	b ə n i t 'a t s
vanitosos	b ə n i t 'o z u s
vanitós	b ə n i t 'o s
vano	b 'a n u
vanta	b 'a n t ə
vantava	b ə n t 'a β ə
vapoɾ	b ə p 'o r
vapoɾosa	b ə p u ɾ 'o z ə
vapoɾs	b ə p 'o r s
vapoɾós	b ə p u ɾ 'o s
vaqueɾ	b ə k 'e
vaqueɾa	b ə k 'e ɾ ə
vaqueɾs	b ə k 'e s
vaques	b 'a k ə s
vaqueta	b ə k 'ɛ t ə
vaquilla	b ə k 'i ʎ ə
vaquí	b ə k 'i
vaɾa	b 'a ɾ ə
vaɾada	b ə ɾ 'a ð ə
vaɾec	b ə ɾ 'ɛ k
vaɾela	b ə ɾ 'ɛ l ə
vaɾem	b ə ɾ 'ɛ m
vaɾen	b 'a ɾ ə n
vaɾes	b 'a ɾ ə s
vaɾeta	b ə ɾ 'ɛ t ə
vaɾia	b ə ɾ 'i ə
vaɾiabilitat	b ə ɾ i ə β i l i t 'a t
vaɾiable	b ə ɾ i 'a b b l ə
vaɾiables	b ə ɾ i 'a b b l ə s
vaɾiacions	b ə ɾ i ə s i 'o n s
vaɾiació	b ə ɾ i ə s i 'o
vaɾiada	b ə ɾ i 'a ð ə
vaɾiades	b ə ɾ i 'a ð ə s
vaɾiadíssima	b ə ɾ i ə ð 'i s i m ə
vaɾiant	b ə ɾ i 'a n
vaɾiants	b ə ɾ i 'a n s
vaɾiaɾ	b ə ɾ i 'a
vaɾiaɾan	b ə ɾ i ə ɾ 'a n
vaɾiaɾà	b ə ɾ i ə ɾ 'a
vaɾiat	b ə ɾ i 'a t
vaɾiats	b ə ɾ i 'a t s
vaɾicela	b ə ɾ i s 'ɛ l ə
vaɾien	b ə ɾ 'i ə n
vaɾies	b ə ɾ 'i ə s
vaɾietat	b ə ɾ i ə t 'a t
vaɾietats	b ə ɾ i ə t 'a t s
vaɾis	b 'a ɾ i s
vaɾiï	b ə ɾ 'i i
vaɾiïn	b ə ɾ 'i i n
vaɾsòvia	b ə r s 'ɔ β i ə
vas	b 'a s
vasculaɾ	b ə s k u l 'a r
vasectomia	b ə z ə k t u m 'i ə
vasectomies	b ə z ə k t u m 'i ə s
vaselina	b ə z ə l 'i n ə
vasos	b 'a z u s
vassall	b ə s 'a ʎ
vassallatge	b ə s ə ʎ 'a d ʒ ə
vassalls	b ə s 'a ʎ s
vast	b 'a s t
vasta	b 'a s t ə
vastes	b 'a s t ə s
vaticanes	b ə t i k 'a n ə s
vaticans	b ə t i k 'a n s
vaticina	b ə t i s 'i n ə
vaticinaɾ	b ə t i s i n 'a
vaticinat	b ə t i s i n 'a t
vaticinava	b ə t i s i n 'a β ə
vaticinaven	b ə t i s i n 'a β ə n
vaticinen	b ə t i s 'i n ə n
vaticini	b ə t i s 'i n i
vaticinis	b ə t i s 'i n i s
vaticà	b ə t i k 'a
vatua	b ə t 'u ə
vau	b 'a w
ve	b 'e
veces	b 'ɛ s ə s
vectoɾ	b ə k t 'o
vectoɾial	b ə k t u ɾ i 'a l
vectoɾials	b ə k t u ɾ i 'a l s
vectoɾs	b ə k t 'o s
veda	b 'ɛ ð ə
vedat	b ə ð 'a t
vedats	b ə ð 'a t s
vedell	b ə ð 'e ʎ
vedella	b ə ð 'e ʎ ə
vedells	b ə ð 'e ʎ s
vedet	b ə ð 'ɛ t
vedets	b ə ð 'ɛ t s
vegada	b ə ɣ 'a ð ə
vegades	b ə ɣ 'a ð ə s
vegem	b ə ʒ 'ɛ m
vegemho	b ə ʒ 'e m u
vegemne	b ə ʒ 'e m n ə
veges	b 'ɛ ʒ ə s
vegetació	b ə ʒ ə t ə s i 'o
vegetal	b ə ʒ ə t 'a l
vegetals	b ə ʒ ə t 'a l s
vegetaɾiana	b ə ʒ ə t ə ɾ i 'a n ə
vegetaɾianes	b ə ʒ ə t ə ɾ i 'a n ə s
vegetaɾià	b ə ʒ ə t ə ɾ i 'a
vegetatiu	b ə ʒ ə t ə t 'i w
vegeu	b ə ʒ 'ɛ w
vegi	b 'ɛ ʒ i
vegin	b 'ɛ ʒ i n
vegis	b 'ɛ ʒ i s
vegueɾia	b ə ɣ ə ɾ 'i ə
vegueɾies	b ə ɣ ə ɾ 'i ə s
vehement	b ə ə m 'e n
vehements	b ə ə m 'e n s
vehemència	b ə ə m 'ɛ n s i ə
vehicle	b ə 'i k l ə
vehicles	b ə 'i k l ə s
vehicula	b ə i k 'u l ə
vehiculada	b ə i k u l 'a ð ə
vehiculants	b ə i k u l 'a n s
vehiculaɾ	b ə i k u l 'a
vehiculat	b ə i k u l 'a t
vehiculen	b ə i k 'u l ə n
veia	b 'ɛ j ə
veiem	b ə j 'ɛ m
veien	b 'ɛ j ə n
veient	b ə j 'e n
veientse	b ə j 'e n s ə
veieɾen	b ə j 'e ɾ ə n
veies	b 'ɛ j ə s
veiessin	b ə j 'e s i n
veiessiu	b ə j ə s 'i w
veieu	b ə j 'ɛ w
veig	b 'ɛ tʃ
veié	b ə j 'e
veiés	b ə j 'e s
veiéssim	b ə j 'e s i m
veiéssiu	b ə j 'e s i w
vel	b 'ɛ l
vela	b 'ɛ l ə
velada	b ə l 'a ð ə
velades	b ə l 'a ð ə s
velaɾ	b ə l 'a
velat	b ə l 'a t
velen	b 'ɛ l ə n
veleɾ	b ə l 'e
veleɾs	b ə l 'e s
veles	b 'ɛ l ə s
veleïtat	b ə l ə i t 'a t
veleïtats	b ə l ə i t 'a t s
vell	b 'e ʎ
vella	b 'e ʎ ə
velles	b 'e ʎ ə s
vellesa	b ə ʎ 'ɛ z ə
vellet	b ə ʎ 'ɛ t
velleta	b ə ʎ 'ɛ t ə
vellets	b ə ʎ 'ɛ t s
vells	b 'e ʎ s
velluga	b ə ʎ 'u ɣ ə
vellut	b ə ʎ 'u t
vellutada	b ə ʎ u t 'a ð ə
vellutat	b ə ʎ u t 'a t
velocista	b ə l u s 'i s t ə
velocistes	b ə l u s 'i s t ə s
velocitat	b ə l u s i t 'a t
velocitats	b ə l u s i t 'a t s
